1 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112431 , 1.50204e-05 , 0.0126281 , 0.0238919
1 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011627 , 1.50204e-05 , 0.0122252 , 0.0238721
1 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116601 , 1.50204e-05 , 0.0122151 , 0.023896
1 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.01125 , 1.5974e-05 , 0.012558 , 0.023828
1 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011539 , 1.50204e-05 , 0.0122771 , 0.0238361
1 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117741 , 1.90735e-05 , 0.0120358 , 0.023834
1 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0113559 , 1.5974e-05 , 0.012542 , 0.023917
1 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117631 , 1.69277e-05 , 0.0120311 , 0.0238161
1 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011378 , 1.5974e-05 , 0.012656 , 0.0240541
1 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011553 , 1.50204e-05 , 0.012536 , 0.0241082
1 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011436 , 1.50204e-05 , 0.0125711 , 0.0240259
1 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011456 , 1.50204e-05 , 0.0124321 , 0.0239079
1 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117061 , 1.50204e-05 , 0.0123029 , 0.0240269
1 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011533 , 1.4782e-05 , 0.0126791 , 0.024231
1 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012064 , 1.50204e-05 , 0.0121419 , 0.024225
1 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011656 , 2.28882e-05 , 0.0122561 , 0.023941
1 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116351 , 1.50204e-05 , 0.0125041 , 0.024158
1 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120761 , 1.50204e-05 , 0.0120571 , 0.0241542
1 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123241 , 1.5974e-05 , 0.01261 , 0.0249538
1 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117099 , 1.50204e-05 , 0.012727 , 0.024457
1 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120699 , 2.59876e-05 , 0.0123038 , 0.024405
1 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117681 , 1.69277e-05 , 0.0125902 , 0.024379
1 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011436 , 1.50204e-05 , 0.0126441 , 0.0240991
1 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012217 , 1.71661e-05 , 0.0122728 , 0.0245118
1 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123031 , 1.50204e-05 , 0.012352 , 0.0246739
1 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.01246 , 1.50204e-05 , 0.0121191 , 0.024601
1 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012301 , 1.50204e-05 , 0.012392 , 0.0247121
1 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120039 , 1.50204e-05 , 0.0129261 , 0.02495
