33 , mapped-by-core , 4096 x 4096 , 0.0543759 , 8.91685e-05 , 0.04526 , 0.0997281
52 , mapped-by-core , 4096 x 4096 , 0.278569 , 0.000100136 , 0.243781 , 0.522451
52 , mapped-by-core , 4096 x 4096 , 0.257993 , 0.000102043 , 0.24984 , 0.507937
53 , mapped-by-core , 4096 x 4096 , 1.10065 , 9.60827e-05 , 0.370533 , 1.47128
53 , mapped-by-core , 4096 x 4096 , 0.339769 , 9.799e-05 , 0.268294 , 0.608161
53 , mapped-by-core , 4096 x 4096 , 0.293568 , 9.48906e-05 , 0.267528 , 0.561194
53 , mapped-by-core , 4096 x 4096 , 0.309381 , 0.000113964 , 0.245274 , 0.55477
53 , mapped-by-core , 4096 x 4096 , 0.279246 , 7.29561e-05 , 0.286452 , 0.565773
54 , mapped-by-core , 4096 x 4096 , 0.269328 , 0.000103951 , 0.260417 , 0.52985
54 , mapped-by-core , 4096 x 4096 , 0.294034 , 0.000102997 , 0.275164 , 0.569303
54 , mapped-by-core , 4096 x 4096 , 0.271316 , 9.89437e-05 , 0.257918 , 0.529336
54 , mapped-by-core , 4096 x 4096 , 0.716911 , 0.000102043 , 0.259269 , 0.976284
54 , mapped-by-core , 4096 x 4096 , 0.269463 , 9.799e-05 , 0.272196 , 0.541758
55 , mapped-by-core , 4096 x 4096 , 0.400242 , 9.5129e-05 , 0.355831 , 0.756169
55 , mapped-by-core , 4096 x 4096 , 0.291673 , 0.000102043 , 0.266033 , 0.55781
55 , mapped-by-core , 4096 x 4096 , 0.273486 , 0.000108004 , 0.269352 , 0.542948
55 , mapped-by-core , 4096 x 4096 , 0.33934 , 0.000100136 , 0.327595 , 0.667037
55 , mapped-by-core , 4096 x 4096 , 0.277288 , 9.89437e-05 , 0.271822 , 0.549212
56 , mapped-by-core , 4096 x 4096 , 0.432293 , 9.98974e-05 , 0.311547 , 0.743941
56 , mapped-by-core , 4096 x 4096 , 0.281687 , 0.000103951 , 0.276225 , 0.558017
56 , mapped-by-core , 4096 x 4096 , 0.286428 , 0.000106096 , 0.291185 , 0.57772
56 , mapped-by-core , 4096 x 4096 , 0.326353 , 8.41618e-05 , 0.303941 , 0.630379
56 , mapped-by-core , 4096 x 4096 , 0.28421 , 9.70364e-05 , 0.27766 , 0.561969
57 , mapped-by-core , 4096 x 4096 , 0.368307 , 0.000101089 , 0.320363 , 0.688773
57 , mapped-by-core , 4096 x 4096 , 0.559611 , 0.000105858 , 0.420892 , 0.98061
57 , mapped-by-core , 4096 x 4096 , 0.283374 , 0.000101089 , 0.269485 , 0.55296
57 , mapped-by-core , 4096 x 4096 , 0.352116 , 0.000102043 , 0.280372 , 0.632593
57 , mapped-by-core , 4096 x 4096 , 0.320633 , 9.70364e-05 , 0.269631 , 0.590362
58 , mapped-by-core , 4096 x 4096 , 0.294667 , 9.98974e-05 , 0.284192 , 0.57896
58 , mapped-by-core , 4096 x 4096 , 0.293261 , 0.000100136 , 0.275078 , 0.568441
58 , mapped-by-core , 4096 x 4096 , 0.340202 , 9.29832e-05 , 0.440833 , 0.78113
58 , mapped-by-core , 4096 x 4096 , 0.383096 , 0.000105858 , 0.287062 , 0.670265
58 , mapped-by-core , 4096 x 4096 , 0.302223 , 7.89165e-05 , 0.296209 , 0.598512
59 , mapped-by-core , 4096 x 4096 , 0.311991 , 0.000108004 , 0.292853 , 0.604953
59 , mapped-by-core , 4096 x 4096 , 0.309718 , 0.000101089 , 0.305156 , 0.614977
59 , mapped-by-core , 4096 x 4096 , 0.294306 , 9.70364e-05 , 0.306605 , 0.601009
59 , mapped-by-core , 4096 x 4096 , 0.290246 , 9.60827e-05 , 0.290986 , 0.58133
59 , mapped-by-core , 4096 x 4096 , 0.344154 , 0.000111103 , 0.285363 , 0.629628
60 , mapped-by-core , 4096 x 4096 , 0.601257 , 9.98974e-05 , 0.298645 , 0.900002
60 , mapped-by-core , 4096 x 4096 , 0.493557 , 0.000100851 , 0.420038 , 0.913698
60 , mapped-by-core , 4096 x 4096 , 0.315858 , 9.89437e-05 , 0.303461 , 0.619418
60 , mapped-by-core , 4096 x 4096 , 0.315506 , 9.70364e-05 , 0.302529 , 0.618133
60 , mapped-by-core , 4096 x 4096 , 0.354182 , 0.000102997 , 0.290278 , 0.644564
61 , mapped-by-core , 4096 x 4096 , 0.304285 , 0.000102043 , 0.297393 , 0.60178
61 , mapped-by-core , 4096 x 4096 , 0.313489 , 7.89165e-05 , 0.297757 , 0.611326
61 , mapped-by-core , 4096 x 4096 , 0.331118 , 9.98974e-05 , 0.311861 , 0.64308
61 , mapped-by-core , 4096 x 4096 , 0.324259 , 0.000100851 , 0.307715 , 0.632078
61 , mapped-by-core , 4096 x 4096 , 0.456824 , 0.000103951 , 0.386395 , 0.843324
62 , mapped-by-core , 4096 x 4096 , 0.463101 , 0.000102997 , 0.336758 , 0.799963
62 , mapped-by-core , 4096 x 4096 , 0.368279 , 0.000105143 , 0.296798 , 0.665183
62 , mapped-by-core , 4096 x 4096 , 0.3522 , 0.000105858 , 0.303139 , 0.655446
62 , mapped-by-core , 4096 x 4096 , 0.347663 , 0.000102997 , 0.305768 , 0.653537
62 , mapped-by-core , 4096 x 4096 , 0.513872 , 9.70364e-05 , 0.439508 , 0.953479
63 , mapped-by-core , 4096 x 4096 , 0.342447 , 0.000103951 , 0.314273 , 0.656826
63 , mapped-by-core , 4096 x 4096 , 0.374126 , 0.000102997 , 0.315806 , 0.690036
63 , mapped-by-core , 4096 x 4096 , 0.349355 , 9.98974e-05 , 0.300322 , 0.649778
63 , mapped-by-core , 4096 x 4096 , 0.396795 , 0.000100136 , 0.310118 , 0.707014
63 , mapped-by-core , 4096 x 4096 , 0.382131 , 0.000100136 , 0.31438 , 0.696613
64 , mapped-by-core , 4096 x 4096 , 0.796138 , 9.91821e-05 , 0.328669 , 1.12491
64 , mapped-by-core , 4096 x 4096 , 0.43572 , 9.799e-05 , 0.368345 , 0.804165
64 , mapped-by-core , 4096 x 4096 , 0.345058 , 0.000101089 , 0.316916 , 0.662078
64 , mapped-by-core , 4096 x 4096 , 0.364836 , 8.01086e-05 , 0.351203 , 0.71612
64 , mapped-by-core , 4096 x 4096 , 0.442736 , 0.000106096 , 0.351996 , 0.79484
