97 , mapped-by-core_4 , 8192 x 8192 , 1.71956 , 0.00010705 , 1.78087 , 3.50054
97 , mapped-by-core_4 , 8192 x 8192 , 2.01496 , 0.000114918 , 1.8904 , 3.90547
97 , mapped-by-core_4 , 8192 x 8192 , 1.96073 , 0.00012207 , 1.96306 , 3.92391
97 , mapped-by-core_4 , 8192 x 8192 , 1.69536 , 0.000111103 , 2.11066 , 3.80613
97 , mapped-by-core_4 , 8192 x 8192 , 2.02971 , 0.000123024 , 1.82406 , 3.85389
98 , mapped-by-core_4 , 8192 x 8192 , 2.09676 , 0.000105143 , 1.73716 , 3.83402
98 , mapped-by-core_4 , 8192 x 8192 , 1.72405 , 0.000117064 , 1.91763 , 3.6418
98 , mapped-by-core_4 , 8192 x 8192 , 1.78537 , 0.000129938 , 1.7833 , 3.5688
98 , mapped-by-core_4 , 8192 x 8192 , 1.67251 , 0.000106096 , 2.35229 , 4.02491
98 , mapped-by-core_4 , 8192 x 8192 , 1.85244 , 0.000110865 , 1.94516 , 3.79771
99 , mapped-by-core_4 , 8192 x 8192 , 1.91015 , 0.00010705 , 2.0452 , 3.95546
99 , mapped-by-core_4 , 8192 x 8192 , 2.08409 , 0.000112057 , 1.99052 , 4.07472
99 , mapped-by-core_4 , 8192 x 8192 , 1.84793 , 0.000106812 , 2.00646 , 3.8545
99 , mapped-by-core_4 , 8192 x 8192 , 2.11935 , 0.000104904 , 1.62913 , 3.74859
99 , mapped-by-core_4 , 8192 x 8192 , 1.82601 , 0.000114918 , 1.81474 , 3.64087
100 , mapped-by-core_4 , 8192 x 8192 , 1.73417 , 0.000108957 , 2.11586 , 3.85014
100 , mapped-by-core_4 , 8192 x 8192 , 1.82087 , 0.000121117 , 1.74625 , 3.56725
100 , mapped-by-core_4 , 8192 x 8192 , 1.74199 , 0.000108957 , 1.9285 , 3.6706
100 , mapped-by-core_4 , 8192 x 8192 , 1.75116 , 0.000108004 , 2.16505 , 3.91632
100 , mapped-by-core_4 , 8192 x 8192 , 2.01672 , 0.000113964 , 1.89363 , 3.91047
101 , mapped-by-core_4 , 8192 x 8192 , 1.8747 , 0.000111103 , 1.97318 , 3.84799
101 , mapped-by-core_4 , 8192 x 8192 , 1.78751 , 0.000112057 , 1.83025 , 3.61787
101 , mapped-by-core_4 , 8192 x 8192 , 1.84535 , 0.000118017 , 2.00035 , 3.84581
101 , mapped-by-core_4 , 8192 x 8192 , 1.85551 , 0.000112057 , 2.01585 , 3.87148
101 , mapped-by-core_4 , 8192 x 8192 , 2.29502 , 0.000108004 , 1.98419 , 4.27932
102 , mapped-by-core_4 , 8192 x 8192 , 1.77377 , 0.000118017 , 1.65243 , 3.42632
102 , mapped-by-core_4 , 8192 x 8192 , 1.67994 , 0.000112057 , 1.96317 , 3.64322
102 , mapped-by-core_4 , 8192 x 8192 , 2.01537 , 0.000117064 , 1.95149 , 3.96697
102 , mapped-by-core_4 , 8192 x 8192 , 1.72543 , 0.00011301 , 2.07637 , 3.80191
102 , mapped-by-core_4 , 8192 x 8192 , 1.83011 , 0.000117064 , 1.76815 , 3.59837
103 , mapped-by-core_4 , 8192 x 8192 , 1.97151 , 0.00011611 , 2.1835 , 4.15514
103 , mapped-by-core_4 , 8192 x 8192 , 1.75514 , 0.000106096 , 2.01787 , 3.77312
103 , mapped-by-core_4 , 8192 x 8192 , 1.8028 , 0.000112057 , 1.67782 , 3.48074
103 , mapped-by-core_4 , 8192 x 8192 , 1.97118 , 0.000102997 , 1.90401 , 3.87529
103 , mapped-by-core_4 , 8192 x 8192 , 1.79418 , 0.000108004 , 2.15704 , 3.95133
104 , mapped-by-core_4 , 8192 x 8192 , 2.34964 , 0.000109911 , 1.94426 , 4.29401
104 , mapped-by-core_4 , 8192 x 8192 , 1.74544 , 0.000112057 , 1.99671 , 3.74226
104 , mapped-by-core_4 , 8192 x 8192 , 1.76181 , 0.000120878 , 2.30072 , 4.06265
