1 , mapped-by-core , 8192 x 8192 , 0.131236 , 1.38283e-05 , 0.200739 , 0.331993
1 , mapped-by-core , 8192 x 8192 , 0.149101 , 1.3113e-05 , 0.201997 , 0.351115
1 , mapped-by-core , 8192 x 8192 , 0.130975 , 1.3113e-05 , 0.200977 , 0.331968
1 , mapped-by-core , 8192 x 8192 , 0.131241 , 1.3113e-05 , 0.201198 , 0.332456
1 , mapped-by-core , 8192 x 8192 , 0.131133 , 1.28746e-05 , 0.201559 , 0.332708
2 , mapped-by-core , 8192 x 8192 , 0.111748 , 1.71661e-05 , 0.148271 , 0.260038
2 , mapped-by-core , 8192 x 8192 , 0.288841 , 2.28882e-05 , 0.163713 , 0.452581
2 , mapped-by-core , 8192 x 8192 , 0.130285 , 2.31266e-05 , 0.171116 , 0.301428
2 , mapped-by-core , 8192 x 8192 , 0.111229 , 1.78814e-05 , 0.147702 , 0.258952
2 , mapped-by-core , 8192 x 8192 , 0.125373 , 2.40803e-05 , 0.164494 , 0.289895
3 , mapped-by-core , 8192 x 8192 , 0.106187 , 2.09808e-05 , 0.1261 , 0.232311
3 , mapped-by-core , 8192 x 8192 , 0.115156 , 2.40803e-05 , 0.122391 , 0.237574
3 , mapped-by-core , 8192 x 8192 , 0.112969 , 2.7895e-05 , 0.123777 , 0.236777
3 , mapped-by-core , 8192 x 8192 , 0.106007 , 1.90735e-05 , 0.119114 , 0.225144
3 , mapped-by-core , 8192 x 8192 , 0.106966 , 2.00272e-05 , 0.11747 , 0.224458
4 , mapped-by-core , 8192 x 8192 , 0.113463 , 2.19345e-05 , 0.117759 , 0.231246
4 , mapped-by-core , 8192 x 8192 , 0.260151 , 2.00272e-05 , 0.111102 , 0.371275
4 , mapped-by-core , 8192 x 8192 , 0.11923 , 2.69413e-05 , 0.128688 , 0.247947
4 , mapped-by-core , 8192 x 8192 , 0.117483 , 2.31266e-05 , 0.127216 , 0.244725
4 , mapped-by-core , 8192 x 8192 , 0.123992 , 2.81334e-05 , 0.131359 , 0.255382
5 , mapped-by-core , 8192 x 8192 , 0.103056 , 2.40803e-05 , 0.105534 , 0.208617
5 , mapped-by-core , 8192 x 8192 , 0.108461 , 3.79086e-05 , 0.108788 , 0.21729
5 , mapped-by-core , 8192 x 8192 , 0.269849 , 1.90735e-05 , 0.108107 , 0.377977
5 , mapped-by-core , 8192 x 8192 , 0.109435 , 1.97887e-05 , 0.109505 , 0.218962
5 , mapped-by-core , 8192 x 8192 , 0.116297 , 2.09808e-05 , 0.115861 , 0.232184
6 , mapped-by-core , 8192 x 8192 , 0.105713 , 2.5034e-05 , 0.105352 , 0.211093
6 , mapped-by-core , 8192 x 8192 , 0.274437 , 2.59876e-05 , 0.111157 , 0.385623
6 , mapped-by-core , 8192 x 8192 , 0.106321 , 1.90735e-05 , 0.107137 , 0.213481
6 , mapped-by-core , 8192 x 8192 , 0.111472 , 2.7895e-05 , 0.106406 , 0.217909
6 , mapped-by-core , 8192 x 8192 , 0.108301 , 2.09808e-05 , 0.105022 , 0.213347
7 , mapped-by-core , 8192 x 8192 , 0.177272 , 2.19345e-05 , 0.107261 , 0.284558
7 , mapped-by-core , 8192 x 8192 , 0.110128 , 2.71797e-05 , 0.108344 , 0.218502
7 , mapped-by-core , 8192 x 8192 , 0.104813 , 2.59876e-05 , 0.124054 , 0.228896
7 , mapped-by-core , 8192 x 8192 , 0.100817 , 2.00272e-05 , 0.103024 , 0.203864
7 , mapped-by-core , 8192 x 8192 , 0.272868 , 2.59876e-05 , 0.106396 , 0.379293
8 , mapped-by-core , 8192 x 8192 , 0.104232 , 2.09808e-05 , 0.103565 , 0.207822
8 , mapped-by-core , 8192 x 8192 , 0.10546 , 2.71797e-05 , 0.107647 , 0.213137
8 , mapped-by-core , 8192 x 8192 , 0.104686 , 2.00272e-05 , 0.104178 , 0.208887
8 , mapped-by-core , 8192 x 8192 , 0.281644 , 2.47955e-05 , 0.119749 , 0.401421
8 , mapped-by-core , 8192 x 8192 , 0.109199 , 2.40803e-05 , 0.106689 , 0.215915
9 , mapped-by-core , 8192 x 8192 , 0.271143 , 2.59876e-05 , 0.11152 , 0.382693
9 , mapped-by-core , 8192 x 8192 , 0.103396 , 3.88622e-05 , 0.106552 , 0.20999
9 , mapped-by-core , 8192 x 8192 , 0.118779 , 3.00407e-05 , 0.12497 , 0.243783
9 , mapped-by-core , 8192 x 8192 , 0.100299 , 3.38554e-05 , 0.107868 , 0.208205
9 , mapped-by-core , 8192 x 8192 , 0.27262 , 3.91006e-05 , 0.108559 , 0.381221
10 , mapped-by-core , 8192 x 8192 , 0.10208 , 2.59876e-05 , 0.107688 , 0.209797
10 , mapped-by-core , 8192 x 8192 , 0.098413 , 3.19481e-05 , 0.11076 , 0.209207
10 , mapped-by-core , 8192 x 8192 , 0.103214 , 2.47955e-05 , 0.113113 , 0.216356
10 , mapped-by-core , 8192 x 8192 , 0.226309 , 2.31266e-05 , 0.107383 , 0.333717
10 , mapped-by-core , 8192 x 8192 , 0.0961821 , 2.19345e-05 , 0.116434 , 0.21264
11 , mapped-by-core , 8192 x 8192 , 0.274876 , 2.59876e-05 , 0.105846 , 0.38075
11 , mapped-by-core , 8192 x 8192 , 0.10525 , 2.19345e-05 , 0.10754 , 0.212814
11 , mapped-by-core , 8192 x 8192 , 0.098031 , 2.19345e-05 , 0.109229 , 0.207285
11 , mapped-by-core , 8192 x 8192 , 0.108007 , 2.98023e-05 , 0.115404 , 0.223444
11 , mapped-by-core , 8192 x 8192 , 0.10334 , 2.59876e-05 , 0.104448 , 0.207817
12 , mapped-by-core , 8192 x 8192 , 0.0989721 , 2.5034e-05 , 0.113184 , 0.212184
12 , mapped-by-core , 8192 x 8192 , 0.273966 , 2.5034e-05 , 0.10724 , 0.381234
12 , mapped-by-core , 8192 x 8192 , 0.104713 , 2.59876e-05 , 0.108379 , 0.213121
12 , mapped-by-core , 8192 x 8192 , 0.103723 , 2.40803e-05 , 0.107309 , 0.211062
12 , mapped-by-core , 8192 x 8192 , 0.106562 , 2.59876e-05 , 0.111041 , 0.217632
13 , mapped-by-core , 8192 x 8192 , 0.141523 , 2.40803e-05 , 0.110742 , 0.252291
13 , mapped-by-core , 8192 x 8192 , 0.10075 , 2.19345e-05 , 0.110524 , 0.2113
13 , mapped-by-core , 8192 x 8192 , 0.271858 , 2.5034e-05 , 0.11299 , 0.384876
13 , mapped-by-core , 8192 x 8192 , 0.10101 , 2.21729e-05 , 0.114661 , 0.215694
13 , mapped-by-core , 8192 x 8192 , 0.110431 , 2.71797e-05 , 0.10784 , 0.218301
14 , mapped-by-core , 8192 x 8192 , 0.100922 , 2.28882e-05 , 0.115787 , 0.216736
14 , mapped-by-core , 8192 x 8192 , 0.274644 , 2.69413e-05 , 0.120231 , 0.394905
14 , mapped-by-core , 8192 x 8192 , 0.103379 , 2.38419e-05 , 0.114112 , 0.217517
14 , mapped-by-core , 8192 x 8192 , 0.105666 , 2.19345e-05 , 0.10912 , 0.214811
14 , mapped-by-core , 8192 x 8192 , 0.100564 , 2.12193e-05 , 0.113747 , 0.214336
15 , mapped-by-core , 8192 x 8192 , 0.106692 , 2.59876e-05 , 0.119636 , 0.226359
15 , mapped-by-core , 8192 x 8192 , 0.103659 , 2.09808e-05 , 0.109429 , 0.213112
15 , mapped-by-core , 8192 x 8192 , 0.157958 , 3.00407e-05 , 0.120715 , 0.278706
15 , mapped-by-core , 8192 x 8192 , 0.104756 , 2.7895e-05 , 0.120679 , 0.225465
15 , mapped-by-core , 8192 x 8192 , 0.263177 , 2.59876e-05 , 0.108925 , 0.372131
16 , mapped-by-core , 8192 x 8192 , 0.102017 , 2.81334e-05 , 0.118391 , 0.220441
16 , mapped-by-core , 8192 x 8192 , 0.104232 , 2.38419e-05 , 0.114173 , 0.218433
16 , mapped-by-core , 8192 x 8192 , 0.106208 , 2.90871e-05 , 0.121371 , 0.227611
16 , mapped-by-core , 8192 x 8192 , 0.10348 , 2.09808e-05 , 0.114788 , 0.218292
16 , mapped-by-core , 8192 x 8192 , 0.10427 , 2.90871e-05 , 0.123757 , 0.228059
17 , mapped-by-core , 8192 x 8192 , 0.104486 , 6.79493e-05 , 0.12154 , 0.226098
17 , mapped-by-core , 8192 x 8192 , 0.108273 , 6.10352e-05 , 0.114469 , 0.222806
17 , mapped-by-core , 8192 x 8192 , 0.106985 , 7.98702e-05 , 0.119655 , 0.226722
17 , mapped-by-core , 8192 x 8192 , 0.10778 , 5.29289e-05 , 0.116491 , 0.224327
17 , mapped-by-core , 8192 x 8192 , 0.275131 , 6.98566e-05 , 0.119887 , 0.395089
18 , mapped-by-core , 8192 x 8192 , 0.108686 , 6.10352e-05 , 0.116154 , 0.224904
18 , mapped-by-core , 8192 x 8192 , 0.106361 , 7.98702e-05 , 0.126713 , 0.233157
