1 , mapped-by-core-extra , 8192 x 8192 , 0.0439589 , 5.00679e-06 , 0.206837 , 0.250802
2 , mapped-by-core-extra , 8192 x 8192 , 0.165156 , 2.14577e-06 , 0.170537 , 0.335697
3 , mapped-by-core-extra , 8192 x 8192 , 0.215166 , 4.76837e-06 , 0.128871 , 0.344045
4 , mapped-by-core-extra , 8192 x 8192 , 0.292531 , 1.90735e-06 , 0.120076 , 0.412611
5 , mapped-by-core-extra , 8192 x 8192 , 0.341589 , 2.14577e-06 , 0.113542 , 0.455135
1 , mapped-by-core-extra , 8192 x 8192 , 0.0436671 , 5.00679e-06 , 0.204669 , 0.248342
1 , mapped-by-core-extra , 8192 x 8192 , 0.0426691 , 5.00679e-06 , 0.200368 , 0.243044
1 , mapped-by-core-extra , 8192 x 8192 , 0.044591 , 5.00679e-06 , 0.201433 , 0.24603
1 , mapped-by-core-extra , 8192 x 8192 , 0.0424709 , 5.00679e-06 , 0.200985 , 0.243463
1 , mapped-by-core-extra , 8192 x 8192 , 0.0433099 , 5.00679e-06 , 0.204111 , 0.247428
2 , mapped-by-core-extra , 8192 x 8192 , 0.139974 , 2.14577e-06 , 0.147078 , 0.287055
2 , mapped-by-core-extra , 8192 x 8192 , 0.13991 , 5.96046e-06 , 0.147375 , 0.287292
2 , mapped-by-core-extra , 8192 x 8192 , 0.139699 , 5.00679e-06 , 0.148287 , 0.287992
2 , mapped-by-core-extra , 8192 x 8192 , 0.138993 , 1.90735e-06 , 0.147788 , 0.286785
2 , mapped-by-core-extra , 8192 x 8192 , 0.139024 , 2.14577e-06 , 0.147001 , 0.286028
3 , mapped-by-core-extra , 8192 x 8192 , 0.210002 , 1.90735e-06 , 0.125003 , 0.335008
3 , mapped-by-core-extra , 8192 x 8192 , 0.216064 , 1.90735e-06 , 0.128925 , 0.344992
3 , mapped-by-core-extra , 8192 x 8192 , 0.216882 , 1.90735e-06 , 0.128915 , 0.345801
3 , mapped-by-core-extra , 8192 x 8192 , 0.216084 , 2.14577e-06 , 0.129606 , 0.345693
3 , mapped-by-core-extra , 8192 x 8192 , 0.215621 , 2.14577e-06 , 0.128823 , 0.344448
4 , mapped-by-core-extra , 8192 x 8192 , 0.28387 , 3.09944e-06 , 0.116879 , 0.400756
4 , mapped-by-core-extra , 8192 x 8192 , 0.23195 , 1.90735e-06 , 0.117261 , 0.349215
4 , mapped-by-core-extra , 8192 x 8192 , 0.282088 , 1.90735e-06 , 0.117767 , 0.399861
4 , mapped-by-core-extra , 8192 x 8192 , 0.283452 , 3.09944e-06 , 0.117278 , 0.400736
4 , mapped-by-core-extra , 8192 x 8192 , 0.29312 , 7.15256e-06 , 0.12125 , 0.414378
5 , mapped-by-core-extra , 8192 x 8192 , 0.343875 , 2.86102e-06 , 0.114986 , 0.458866
5 , mapped-by-core-extra , 8192 x 8192 , 0.290934 , 3.09944e-06 , 0.114509 , 0.405448
5 , mapped-by-core-extra , 8192 x 8192 , 0.342217 , 1.90735e-06 , 0.113548 , 0.455771
5 , mapped-by-core-extra , 8192 x 8192 , 0.346616 , 1.90735e-06 , 0.113801 , 0.460422
5 , mapped-by-core-extra , 8192 x 8192 , 0.342349 , 3.09944e-06 , 0.113578 , 0.455931
6 , mapped-by-core-extra , 8192 x 8192 , 0.399654 , 2.86102e-06 , 0.113092 , 0.51275
6 , mapped-by-core-extra , 8192 x 8192 , 0.348639 , 2.86102e-06 , 0.113414 , 0.462056
6 , mapped-by-core-extra , 8192 x 8192 , 0.346184 , 3.09944e-06 , 0.113339 , 0.459527
6 , mapped-by-core-extra , 8192 x 8192 , 0.401693 , 2.86102e-06 , 0.113104 , 0.514801
6 , mapped-by-core-extra , 8192 x 8192 , 0.399061 , 1.90735e-06 , 0.11331 , 0.512374
7 , mapped-by-core-extra , 8192 x 8192 , 0.305068 , 2.14577e-06 , 0.117795 , 0.422867
7 , mapped-by-core-extra , 8192 x 8192 , 0.411046 , 2.14577e-06 , 0.117605 , 0.528654
7 , mapped-by-core-extra , 8192 x 8192 , 0.357534 , 1.90735e-06 , 0.119049 , 0.476586
7 , mapped-by-core-extra , 8192 x 8192 , 0.356732 , 2.86102e-06 , 0.116915 , 0.473652
7 , mapped-by-core-extra , 8192 x 8192 , 0.356719 , 1.90735e-06 , 0.118242 , 0.474965
8 , mapped-by-core-extra , 8192 x 8192 , 0.468516 , 2.86102e-06 , 0.125196 , 0.593718
8 , mapped-by-core-extra , 8192 x 8192 , 0.368588 , 3.09944e-06 , 0.127322 , 0.495917
8 , mapped-by-core-extra , 8192 x 8192 , 0.402015 , 1.3113e-05 , 0.125796 , 0.527826
8 , mapped-by-core-extra , 8192 x 8192 , 0.465292 , 4.05312e-06 , 0.126927 , 0.592224
8 , mapped-by-core-extra , 8192 x 8192 , 0.367447 , 3.09944e-06 , 0.125166 , 0.492618
9 , mapped-by-core-extra , 8192 x 8192 , 0.351295 , 3.09944e-06 , 0.113507 , 0.464806
9 , mapped-by-core-extra , 8192 x 8192 , 0.394349 , 4.05312e-06 , 0.11365 , 0.508003
57 , mapped-by-core-extra , 8192 x 8192 , 4.34811 , 5.96046e-06 , 1.17953 , 5.52764
57 , mapped-by-core-extra , 8192 x 8192 , 6.39622 , 1.00136e-05 , 1.15412 , 7.55036
57 , mapped-by-core-extra , 8192 x 8192 , 3.82455 , 7.15256e-06 , 1.10569 , 4.93025
57 , mapped-by-core-extra , 8192 x 8192 , 4.7996 , 6.91414e-06 , 1.2582 , 6.05781
57 , mapped-by-core-extra , 8192 x 8192 , 4.96356 , 1.00136e-05 , 1.25084 , 6.21441
58 , mapped-by-core-extra , 8192 x 8192 , 4.00827 , 8.10623e-06 , 1.13276 , 5.14104
58 , mapped-by-core-extra , 8192 x 8192 , 3.41856 , 1.09673e-05 , 1.14469 , 4.56327
58 , mapped-by-core-extra , 8192 x 8192 , 3.37774 , 9.05991e-06 , 1.17002 , 4.54777
58 , mapped-by-core-extra , 8192 x 8192 , 2.92163 , 7.86781e-06 , 1.18875 , 4.1104
58 , mapped-by-core-extra , 8192 x 8192 , 5.7777 , 1.90735e-06 , 1.1251 , 6.90281
59 , mapped-by-core-extra , 8192 x 8192 , 3.55317 , 1.00136e-05 , 1.18677 , 4.73996
59 , mapped-by-core-extra , 8192 x 8192 , 7.7615 , 4.05312e-06 , 1.21922 , 8.98073
59 , mapped-by-core-extra , 8192 x 8192 , 5.90845 , 1.21593e-05 , 1.25136 , 7.15983
59 , mapped-by-core-extra , 8192 x 8192 , 2.86356 , 5.00679e-06 , 1.10399 , 3.96757
59 , mapped-by-core-extra , 8192 x 8192 , 3.13088 , 1.28746e-05 , 1.15563 , 4.28653
60 , mapped-by-core-extra , 8192 x 8192 , 3.93995 , 1.00136e-05 , 1.22653 , 5.1665
60 , mapped-by-core-extra , 8192 x 8192 , 3.79939 , 5.96046e-06 , 1.15268 , 4.95209
60 , mapped-by-core-extra , 8192 x 8192 , 4.94468 , 1.28746e-05 , 1.25947 , 6.20417
60 , mapped-by-core-extra , 8192 x 8192 , 4.66721 , 5.96046e-06 , 1.28329 , 5.95051
60 , mapped-by-core-extra , 8192 x 8192 , 5.24907 , 5.96046e-06 , 1.26425 , 6.51334
61 , mapped-by-core-extra , 8192 x 8192 , 4.39484 , 3.09944e-06 , 1.28353 , 5.67837
61 , mapped-by-core-extra , 8192 x 8192 , 6.12213 , 6.91414e-06 , 1.23997 , 7.36211
61 , mapped-by-core-extra , 8192 x 8192 , 3.76352 , 7.15256e-06 , 1.26811 , 5.03165
61 , mapped-by-core-extra , 8192 x 8192 , 3.97074 , 8.10623e-06 , 1.19509 , 5.16584
61 , mapped-by-core-extra , 8192 x 8192 , 3.64092 , 8.82149e-06 , 1.22953 , 4.87046
62 , mapped-by-core-extra , 8192 x 8192 , 5.39874 , 7.86781e-06 , 1.22092 , 6.61968
62 , mapped-by-core-extra , 8192 x 8192 , 3.94957 , 5.96046e-06 , 1.35316 , 5.30274
62 , mapped-by-core-extra , 8192 x 8192 , 3.02114 , 1.00136e-05 , 1.21769 , 4.23884
62 , mapped-by-core-extra , 8192 x 8192 , 3.74427 , 4.05312e-06 , 1.27646 , 5.02074
62 , mapped-by-core-extra , 8192 x 8192 , 3.17249 , 2.86102e-06 , 1.22219 , 4.39469
63 , mapped-by-core-extra , 8192 x 8192 , 7.55052 , 2.86102e-06 , 1.27481 , 8.82535
63 , mapped-by-core-extra , 8192 x 8192 , 4.52179 , 5.96046e-06 , 1.27902 , 5.80082
63 , mapped-by-core-extra , 8192 x 8192 , 5.97926 , 1.00136e-05 , 1.288 , 7.26728
63 , mapped-by-core-extra , 8192 x 8192 , 3.50029 , 8.10623e-06 , 1.25274 , 4.75304
63 , mapped-by-core-extra , 8192 x 8192 , 4.88365 , 5.00679e-06 , 1.30005 , 6.18371
64 , mapped-by-core-extra , 8192 x 8192 , 6.09537 , 1.09673e-05 , 1.28471 , 7.3801
64 , mapped-by-core-extra , 8192 x 8192 , 7.67086 , 9.05991e-06 , 1.26625 , 8.93713
64 , mapped-by-core-extra , 8192 x 8192 , 6.58877 , 6.91414e-06 , 1.31099 , 7.89976
64 , mapped-by-core-extra , 8192 x 8192 , 8.13468 , 6.91414e-06 , 1.43336 , 9.56805
64 , mapped-by-core-extra , 8192 x 8192 , 4.10051 , 6.91414e-06 , 1.31269 , 5.41321
