129 , mapped-by-core_5 , 2048 x 2048 , 0.234735 , 0.000102997 , 0.48097 , 0.71581
129 , mapped-by-core_5 , 2048 x 2048 , 0.216624 , 8.32081e-05 , 0.431402 , 0.648109
129 , mapped-by-core_5 , 2048 x 2048 , 0.472392 , 0.000102997 , 0.360497 , 0.832994
129 , mapped-by-core_5 , 2048 x 2048 , 0.244609 , 0.000108004 , 0.745504 , 0.990222
129 , mapped-by-core_5 , 2048 x 2048 , 0.174841 , 0.000113964 , 0.693315 , 0.868271
130 , mapped-by-core_5 , 2048 x 2048 , 0.150109 , 0.000113964 , 0.620068 , 0.770291
130 , mapped-by-core_5 , 2048 x 2048 , 0.191218 , 0.000108004 , 0.456946 , 0.648273
130 , mapped-by-core_5 , 2048 x 2048 , 0.24037 , 9.58443e-05 , 0.435311 , 0.675777
130 , mapped-by-core_5 , 2048 x 2048 , 0.343745 , 0.000102043 , 0.591644 , 0.935492
130 , mapped-by-core_5 , 2048 x 2048 , 0.175035 , 0.000108004 , 0.705393 , 0.880539
131 , mapped-by-core_5 , 2048 x 2048 , 0.31805 , 0.000117064 , 0.504422 , 0.822589
131 , mapped-by-core_5 , 2048 x 2048 , 0.291828 , 7.60555e-05 , 0.519181 , 0.811085
131 , mapped-by-core_5 , 2048 x 2048 , 0.195196 , 0.000102997 , 0.719852 , 0.915152
131 , mapped-by-core_5 , 2048 x 2048 , 0.318859 , 9.82285e-05 , 0.446079 , 0.765037
131 , mapped-by-core_5 , 2048 x 2048 , 0.216021 , 7.60555e-05 , 0.144021 , 0.360119
132 , mapped-by-core_5 , 2048 x 2048 , 0.264903 , 9.29832e-05 , 0.272265 , 0.537262
132 , mapped-by-core_5 , 2048 x 2048 , 0.195681 , 0.000102043 , 0.45077 , 0.646554
132 , mapped-by-core_5 , 2048 x 2048 , 0.199247 , 0.000106812 , 0.350191 , 0.549547
132 , mapped-by-core_5 , 2048 x 2048 , 0.203424 , 7.51019e-05 , 0.393386 , 0.596886
132 , mapped-by-core_5 , 2048 x 2048 , 0.471408 , 9.60827e-05 , 0.498595 , 0.970101
133 , mapped-by-core_5 , 2048 x 2048 , 0.363542 , 0.000101089 , 0.352668 , 0.716312
133 , mapped-by-core_5 , 2048 x 2048 , 0.529674 , 0.000103951 , 0.402063 , 0.931841
133 , mapped-by-core_5 , 2048 x 2048 , 0.280854 , 0.000102997 , 0.695252 , 0.976211
133 , mapped-by-core_5 , 2048 x 2048 , 0.160066 , 0.000101089 , 0.610272 , 0.77044
133 , mapped-by-core_5 , 2048 x 2048 , 0.209882 , 0.000103951 , 0.393217 , 0.603204
134 , mapped-by-core_5 , 2048 x 2048 , 0.178116 , 9.5129e-05 , 0.242817 , 0.421028
134 , mapped-by-core_5 , 2048 x 2048 , 0.196335 , 0.000106096 , 0.167332 , 0.363773
134 , mapped-by-core_5 , 2048 x 2048 , 0.171402 , 0.000100851 , 0.387642 , 0.559145
134 , mapped-by-core_5 , 2048 x 2048 , 0.317774 , 0.000100851 , 0.437532 , 0.755408
134 , mapped-by-core_5 , 2048 x 2048 , 0.252712 , 9.98974e-05 , 0.417226 , 0.67004
135 , mapped-by-core_5 , 2048 x 2048 , 0.177297 , 0.00011611 , 0.221424 , 0.398838
