1 , 1 , mapped-by-core , 4096 x 4096 , 0.0379989 , 1.09673e-05 , 0.047617 , 0.0856311
1 , 2 , mapped-by-core , 4096 x 4096 , 0.036546 , 1.40667e-05 , 0.042628 , 0.0791919
1 , 3 , mapped-by-core , 4096 x 4096 , 0.044806 , 1.40667e-05 , 0.051362 , 0.0961859
1 , 4 , mapped-by-core , 4096 x 4096 , 0.0445988 , 1.3113e-05 , 0.050802 , 0.0954189
1 , 5 , mapped-by-core , 4096 x 4096 , 0.04458 , 1.40667e-05 , 0.0503459 , 0.0949452
1 , 6 , mapped-by-core , 4096 x 4096 , 0.04497 , 1.28746e-05 , 0.0506241 , 0.095612
1 , 7 , mapped-by-core , 4096 x 4096 , 0.044595 , 1.40667e-05 , 0.0509479 , 0.0955629
1 , 8 , mapped-by-core , 4096 x 4096 , 0.0450311 , 1.40667e-05 , 0.0501308 , 0.0951798
1 , 9 , mapped-by-core , 4096 x 4096 , 0.044704 , 1.40667e-05 , 0.050849 , 0.095571
1 , 10 , mapped-by-core , 4096 x 4096 , 0.0451901 , 1.38283e-05 , 0.0502291 , 0.095437
1 , 11 , mapped-by-core , 4096 x 4096 , 0.0451629 , 1.3113e-05 , 0.051069 , 0.096252
1 , 12 , mapped-by-core , 4096 x 4096 , 0.0445969 , 1.40667e-05 , 0.050467 , 0.095082
1 , 13 , mapped-by-core , 4096 x 4096 , 0.0448952 , 1.28746e-05 , 0.0507331 , 0.0956459
1 , 14 , mapped-by-core , 4096 x 4096 , 0.044817 , 1.78814e-05 , 0.051008 , 0.0958478
1 , 15 , mapped-by-core , 4096 x 4096 , 0.0447431 , 1.40667e-05 , 0.050298 , 0.0950601
1 , 16 , mapped-by-core , 4096 x 4096 , 0.045974 , 2.59876e-05 , 0.050169 , 0.0961752
1 , 17 , mapped-by-core , 4096 x 4096 , 0.0453229 , 1.40667e-05 , 0.050015 , 0.095356
1 , 18 , mapped-by-core , 4096 x 4096 , 0.0453682 , 1.28746e-05 , 0.049943 , 0.095329
1 , 19 , mapped-by-core , 4096 x 4096 , 0.0449011 , 1.28746e-05 , 0.0502892 , 0.0952101
1 , 20 , mapped-by-core , 4096 x 4096 , 0.045085 , 1.28746e-05 , 0.0502961 , 0.0953991
1 , 21 , mapped-by-core , 4096 x 4096 , 0.044965 , 1.40667e-05 , 0.0505168 , 0.0955009
1 , 22 , mapped-by-core , 4096 x 4096 , 0.0470638 , 1.40667e-05 , 0.0504169 , 0.0974998
1 , 23 , mapped-by-core , 4096 x 4096 , 0.0459862 , 1.28746e-05 , 0.050005 , 0.09601
1 , 24 , mapped-by-core , 4096 x 4096 , 0.045644 , 1.40667e-05 , 0.050252 , 0.0959141
1 , 25 , mapped-by-core , 4096 x 4096 , 0.0452061 , 1.40667e-05 , 0.0504539 , 0.0956781
1 , 26 , mapped-by-core , 4096 x 4096 , 0.045619 , 1.5974e-05 , 0.050077 , 0.095717
1 , 27 , mapped-by-core , 4096 x 4096 , 0.0453899 , 1.3113e-05 , 0.0507319 , 0.0961399
1 , 28 , mapped-by-core , 4096 x 4096 , 0.045408 , 2.59876e-05 , 0.050652 , 0.0960922
