65 , mapped-by-core , 8192 x 8192 , 1.2718 , 0.000108004 , 1.2492 , 2.52111
65 , mapped-by-core , 8192 x 8192 , 1.57442 , 0.000102043 , 1.34104 , 2.91556
65 , mapped-by-core , 8192 x 8192 , 1.50075 , 0.000103951 , 1.28296 , 2.78382
65 , mapped-by-core , 8192 x 8192 , 1.44476 , 0.000106096 , 1.26706 , 2.71192
65 , mapped-by-core , 8192 x 8192 , 1.3577 , 0.000111103 , 1.34158 , 2.69939
66 , mapped-by-core , 8192 x 8192 , 1.31422 , 0.00010705 , 1.32624 , 2.64057
66 , mapped-by-core , 8192 x 8192 , 1.44437 , 0.000106096 , 1.26358 , 2.70806
66 , mapped-by-core , 8192 x 8192 , 1.51802 , 0.000105858 , 1.35849 , 2.87661
66 , mapped-by-core , 8192 x 8192 , 1.37304 , 0.00010705 , 1.55826 , 2.93141
66 , mapped-by-core , 8192 x 8192 , 1.31284 , 0.000102043 , 1.43248 , 2.74542
67 , mapped-by-core , 8192 x 8192 , 1.29478 , 0.000102997 , 1.56345 , 2.85834
67 , mapped-by-core , 8192 x 8192 , 1.80078 , 0.000106096 , 1.66043 , 3.46131
67 , mapped-by-core , 8192 x 8192 , 1.37561 , 0.000118971 , 1.47605 , 2.85178
67 , mapped-by-core , 8192 x 8192 , 1.26971 , 0.000103951 , 1.36118 , 2.63099
67 , mapped-by-core , 8192 x 8192 , 1.69064 , 9.60827e-05 , 1.71548 , 3.40621
68 , mapped-by-core , 8192 x 8192 , 1.39426 , 8.10623e-05 , 1.32719 , 2.72153
68 , mapped-by-core , 8192 x 8192 , 1.46656 , 0.000108004 , 1.38064 , 2.84731
68 , mapped-by-core , 8192 x 8192 , 1.45005 , 0.000102997 , 1.37654 , 2.82669
68 , mapped-by-core , 8192 x 8192 , 1.31164 , 0.000109911 , 1.47491 , 2.78666
68 , mapped-by-core , 8192 x 8192 , 1.33432 , 0.000103951 , 1.35696 , 2.69138
69 , mapped-by-core , 8192 x 8192 , 1.41839 , 0.000105858 , 1.29693 , 2.71543
69 , mapped-by-core , 8192 x 8192 , 1.33884 , 0.000112057 , 1.43989 , 2.77885
69 , mapped-by-core , 8192 x 8192 , 1.37135 , 0.000104904 , 1.48842 , 2.85987
69 , mapped-by-core , 8192 x 8192 , 1.31403 , 0.00011301 , 1.39197 , 2.70612
