22 , --map-by core ETH , 2048 x 2048 , 0.0122228 , 8.32081e-05 , 0.00703788 , 0.0193481 , 
22 , --map-by core ETH , 2048 x 2048 , 0.012361 , 6.58035e-05 , 0.00791311 , 0.020344 , 
23 , --map-by core ETH , 2048 x 2048 , 0.039134 , 6.31809e-05 , 0.0354199 , 0.074621 , 
23 , --map-by core ETH , 2048 x 2048 , 0.012213 , 6.38962e-05 , 0.00752807 , 0.0198081 , 
23 , --map-by core ETH , 2048 x 2048 , 0.188448 , 6.69956e-05 , 0.020385 , 0.208904 , 
23 , --map-by core ETH , 2048 x 2048 , 0.0120039 , 5.4121e-05 , 0.00708199 , 0.0191431 , 
23 , --map-by core ETH , 2048 x 2048 , 0.0116599 , 5.81741e-05 , 0.00750184 , 0.019223 , 
23 , --map-by core ETH , 2048 x 2048 , 0.011904 , 6.69956e-05 , 0.00748491 , 0.0194578 , 
23 , --map-by core ETH , 2048 x 2048 , 0.03795 , 7.00951e-05 , 0.0310509 , 0.0690749 , 
23 , --map-by core ETH , 2048 x 2048 , 0.01178 , 6.69956e-05 , 0.00692582 , 0.0187759 , 
23 , --map-by core ETH , 2048 x 2048 , 0.011704 , 6.69956e-05 , 0.00706506 , 0.0188398 , 
23 , --map-by core ETH , 2048 x 2048 , 0.012064 , 7.00951e-05 , 0.00753903 , 0.0196772 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0239708 , 6.81877e-05 , 0.00697589 , 0.031018 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0118921 , 7.08103e-05 , 0.00706697 , 0.019033 , 
24 , --map-by core ETH , 2048 x 2048 , 0.011862 , 6.19888e-05 , 0.00696397 , 0.0188909 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0117979 , 5.10216e-05 , 0.00662613 , 0.0184782 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0122259 , 5.91278e-05 , 0.00690699 , 0.0191951 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0119882 , 5.29289e-05 , 0.0069809 , 0.0190239 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0125978 , 7.41482e-05 , 0.00759101 , 0.020268 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0140541 , 6.60419e-05 , 0.00790501 , 0.022028 , 
24 , --map-by core ETH , 2048 x 2048 , 0.017643 , 7.00951e-05 , 0.019192 , 0.0369081 , 
24 , --map-by core ETH , 2048 x 2048 , 0.0142159 , 6.60419e-05 , 0.0188169 , 0.033103 , 
25 , --map-by core ETH , 2048 x 2048 , 0.012491 , 6.60419e-05 , 0.00718403 , 0.0197461 , 
25 , --map-by core ETH , 2048 x 2048 , 0.013072 , 8.29697e-05 , 0.00872111 , 0.0218801 , 
25 , --map-by core ETH , 2048 x 2048 , 0.0309849 , 6.79493e-05 , 0.0178668 , 0.048924 , 
25 , --map-by core ETH , 2048 x 2048 , 0.012671 , 6.60419e-05 , 0.00713086 , 0.019872 , 
