97 , mapped-by-core_4 , 4096 x 4096 , 0.459867 , 0.000117064 , 0.866791 , 1.32678
97 , mapped-by-core_4 , 4096 x 4096 , 0.709079 , 0.00010705 , 0.877051 , 1.58624
97 , mapped-by-core_4 , 4096 x 4096 , 0.448121 , 0.000105143 , 0.875146 , 1.32337
97 , mapped-by-core_4 , 4096 x 4096 , 0.676584 , 0.000102043 , 0.980123 , 1.65681
97 , mapped-by-core_4 , 4096 x 4096 , 0.441913 , 0.000111103 , 1.00308 , 1.44511
98 , mapped-by-core_4 , 4096 x 4096 , 0.451402 , 0.00011301 , 1.02715 , 1.47867
98 , mapped-by-core_4 , 4096 x 4096 , 0.587142 , 0.000102997 , 0.910871 , 1.49812
98 , mapped-by-core_4 , 4096 x 4096 , 0.445631 , 0.000106096 , 0.868064 , 1.3138
98 , mapped-by-core_4 , 4096 x 4096 , 0.589605 , 0.000110865 , 0.922327 , 1.51204
98 , mapped-by-core_4 , 4096 x 4096 , 0.483281 , 0.000112057 , 1.03551 , 1.5189
99 , mapped-by-core_4 , 4096 x 4096 , 0.512133 , 8.01086e-05 , 0.819438 , 1.33165
99 , mapped-by-core_4 , 4096 x 4096 , 0.803495 , 0.000103951 , 1.06409 , 1.86769
99 , mapped-by-core_4 , 4096 x 4096 , 0.620773 , 0.00011301 , 1.08239 , 1.70327
99 , mapped-by-core_4 , 4096 x 4096 , 0.717125 , 0.000108957 , 0.859686 , 1.57692
99 , mapped-by-core_4 , 4096 x 4096 , 0.49178 , 0.000109196 , 0.879147 , 1.37104
100 , mapped-by-core_4 , 4096 x 4096 , 0.450048 , 8.79765e-05 , 0.834407 , 1.28454
100 , mapped-by-core_4 , 4096 x 4096 , 0.676321 , 0.000110149 , 1.16627 , 1.84271
100 , mapped-by-core_4 , 4096 x 4096 , 0.482331 , 0.00010705 , 1.10966 , 1.5921
100 , mapped-by-core_4 , 4096 x 4096 , 0.912864 , 0.000110149 , 0.866294 , 1.77927
100 , mapped-by-core_4 , 4096 x 4096 , 0.483698 , 0.000102997 , 1.03085 , 1.51466
