1 , mapped-by-core , 4096 x 4096 , 0.039603 , 1.69277e-05 , 0.059438 , 0.0990622
1 , mapped-by-core , 4096 x 4096 , 0.0397701 , 1.78814e-05 , 0.0595379 , 0.0993299
1 , mapped-by-core , 4096 x 4096 , 0.039763 , 1.5974e-05 , 0.061106 , 0.10089
1 , mapped-by-core , 4096 x 4096 , 0.039921 , 1.71661e-05 , 0.059422 , 0.0993631
1 , mapped-by-core , 4096 x 4096 , 0.0396562 , 1.5974e-05 , 0.059665 , 0.0993421
2 , mapped-by-core , 4096 x 4096 , 0.0351861 , 2.71797e-05 , 0.042114 , 0.0773301
2 , mapped-by-core , 4096 x 4096 , 0.0346122 , 2.09808e-05 , 0.0488989 , 0.0835359
2 , mapped-by-core , 4096 x 4096 , 0.0330181 , 2.59876e-05 , 0.042803 , 0.07585
2 , mapped-by-core , 4096 x 4096 , 0.029355 , 1.90735e-05 , 0.036711 , 0.066088
2 , mapped-by-core , 4096 x 4096 , 0.0290859 , 1.90735e-05 , 0.0376489 , 0.066757
3 , mapped-by-core , 4096 x 4096 , 0.0287409 , 2.40803e-05 , 0.031194 , 0.059963
3 , mapped-by-core , 4096 x 4096 , 0.032258 , 2.69413e-05 , 0.035706 , 0.0679939
3 , mapped-by-core , 4096 x 4096 , 0.029284 , 2.38419e-05 , 0.030762 , 0.0600731
3 , mapped-by-core , 4096 x 4096 , 0.0313699 , 2.28882e-05 , 0.033612 , 0.0650082
3 , mapped-by-core , 4096 x 4096 , 0.0288861 , 2.28882e-05 , 0.030899 , 0.0598111
4 , mapped-by-core , 4096 x 4096 , 0.0307162 , 2.19345e-05 , 0.031832 , 0.062572
4 , mapped-by-core , 4096 x 4096 , 0.0289209 , 2.31266e-05 , 0.0283849 , 0.0573311
4 , mapped-by-core , 4096 x 4096 , 0.0304389 , 2.21729e-05 , 0.032974 , 0.0634391
4 , mapped-by-core , 4096 x 4096 , 0.026932 , 2.19345e-05 , 0.028161 , 0.0551169
4 , mapped-by-core , 4096 x 4096 , 0.0287302 , 2.09808e-05 , 0.0300171 , 0.0587721
5 , mapped-by-core , 4096 x 4096 , 0.029177 , 2.69413e-05 , 0.0345201 , 0.0637281
5 , mapped-by-core , 4096 x 4096 , 0.0293829 , 2.19345e-05 , 0.0326521 , 0.0620611
5 , mapped-by-core , 4096 x 4096 , 0.0327151 , 2.28882e-05 , 0.0300269 , 0.0627689
5 , mapped-by-core , 4096 x 4096 , 0.0251949 , 2.00272e-05 , 0.0264981 , 0.0517159
5 , mapped-by-core , 4096 x 4096 , 0.0295749 , 2.40803e-05 , 0.0277221 , 0.0573242
6 , mapped-by-core , 4096 x 4096 , 0.0281758 , 2.19345e-05 , 0.026922 , 0.0551238
6 , mapped-by-core , 4096 x 4096 , 0.0275218 , 1.90735e-05 , 0.0276911 , 0.055234
6 , mapped-by-core , 4096 x 4096 , 0.02654 , 2.09808e-05 , 0.0296519 , 0.056216
6 , mapped-by-core , 4096 x 4096 , 0.0275822 , 2.28882e-05 , 0.029875 , 0.0574841
