33 , 26 , mapped-by-core , 2048 x 2048 , 0.267655 , 9.70364e-05 , 0.204035 , 0.471791
33 , 27 , mapped-by-core , 2048 x 2048 , 0.334881 , 8.2016e-05 , 0.209306 , 0.544273
33 , 28 , mapped-by-core , 2048 x 2048 , 0.250299 , 8.51154e-05 , 0.184437 , 0.434827
33 , 29 , mapped-by-core , 2048 x 2048 , 0.276119 , 0.000100136 , 0.217355 , 0.493577
33 , 30 , mapped-by-core , 2048 x 2048 , 0.284952 , 0.027724 , 0.219407 , 0.532086
33 , 31 , mapped-by-core , 2048 x 2048 , 0.260814 , 8.29697e-05 , 0.346644 , 0.607544
33 , 32 , mapped-by-core , 2048 x 2048 , 0.291201 , 9.39369e-05 , 0.180049 , 0.471348
33 , 1 , mapped-by-core , 2048 x 2048 , 0.238248 , 9.5129e-05 , 0.174006 , 0.412355
33 , 2 , mapped-by-core , 2048 x 2048 , 0.0385089 , 8.79765e-05 , 0.02528 , 0.0638812
33 , 3 , mapped-by-core , 2048 x 2048 , 0.13531 , 9.39369e-05 , 0.039793 , 0.1752
33 , 4 , mapped-by-core , 2048 x 2048 , 0.0715859 , 8.91685e-05 , 0.0667439 , 0.138421
33 , 5 , mapped-by-core , 2048 x 2048 , 0.078964 , 8.60691e-05 , 0.109549 , 0.188604
33 , 6 , mapped-by-core , 2048 x 2048 , 0.0785682 , 9.799e-05 , 0.0712359 , 0.149907
33 , 7 , mapped-by-core , 2048 x 2048 , 0.116069 , 9.10759e-05 , 0.0855129 , 0.201676
33 , 8 , mapped-by-core , 2048 x 2048 , 0.100307 , 0.00481296 , 0.097235 , 0.20236
33 , 9 , mapped-by-core , 2048 x 2048 , 0.122901 , 0.0093689 , 0.0646181 , 0.196892
33 , 10 , mapped-by-core , 2048 x 2048 , 0.113154 , 9.17912e-05 , 0.108412 , 0.221661
33 , 11 , mapped-by-core , 2048 x 2048 , 0.14275 , 0.00709486 , 0.0882671 , 0.238115
1 , 1 , mapped-by-core , 2048 x 2048 , 0.0112121 , 1.38283e-05 , 0.0133331 , 0.0245619
33 , 12 , mapped-by-core , 2048 x 2048 , 0.115092 , 9.39369e-05 , 0.116461 , 0.23165
1 , 2 , mapped-by-core , 2048 x 2048 , 0.011322 , 2.09808e-05 , 0.0123172 , 0.023663
1 , 3 , mapped-by-core , 2048 x 2048 , 0.0111349 , 1.3113e-05 , 0.0127399 , 0.0238929
33 , 13 , mapped-by-core , 2048 x 2048 , 0.135983 , 0.011656 , 0.136734 , 0.284377
1 , 4 , mapped-by-core , 2048 x 2048 , 0.011518 , 2.5034e-05 , 0.0123711 , 0.023921
33 , 14 , mapped-by-core , 2048 x 2048 , 0.156297 , 8.91685e-05 , 0.101299 , 0.257688
1 , 5 , mapped-by-core , 2048 x 2048 , 0.0115399 , 1.3113e-05 , 0.0122249 , 0.023782
1 , 6 , mapped-by-core , 2048 x 2048 , 0.011205 , 1.40667e-05 , 0.0124078 , 0.0236311
33 , 15 , mapped-by-core , 2048 x 2048 , 0.141912 , 8.4877e-05 , 0.1513 , 0.2933
1 , 7 , mapped-by-core , 2048 x 2048 , 0.01107 , 1.3113e-05 , 0.012496 , 0.0235841
1 , 8 , mapped-by-core , 2048 x 2048 , 0.0111842 , 1.28746e-05 , 0.0125029 , 0.0237038
33 , 16 , mapped-by-core , 2048 x 2048 , 0.198313 , 8.79765e-05 , 0.177183 , 0.375589
1 , 9 , mapped-by-core , 2048 x 2048 , 0.0114009 , 1.28746e-05 , 0.012187 , 0.0236039
1 , 10 , mapped-by-core , 2048 x 2048 , 0.0112739 , 1.3113e-05 , 0.0123501 , 0.0236402
33 , 17 , mapped-by-core , 2048 x 2048 , 0.359487 , 9.70364e-05 , 0.130793 , 0.490381
1 , 11 , mapped-by-core , 2048 x 2048 , 0.0114338 , 1.3113e-05 , 0.012501 , 0.023953
1 , 12 , mapped-by-core , 2048 x 2048 , 0.0114081 , 1.28746e-05 , 0.0124071 , 0.0238318
33 , 18 , mapped-by-core , 2048 x 2048 , 0.223745 , 9.29832e-05 , 0.175581 , 0.399422
1 , 13 , mapped-by-core , 2048 x 2048 , 0.0112772 , 1.38283e-05 , 0.0126991 , 0.023994
33 , 19 , mapped-by-core , 2048 x 2048 , 0.208687 , 6.81877e-05 , 0.15512 , 0.363879
1 , 14 , mapped-by-core , 2048 x 2048 , 0.011348 , 1.28746e-05 , 0.012481 , 0.0238459
1 , 15 , mapped-by-core , 2048 x 2048 , 0.0117209 , 1.3113e-05 , 0.012285 , 0.0240211
1 , 16 , mapped-by-core , 2048 x 2048 , 0.011415 , 1.3113e-05 , 0.0124218 , 0.023854
33 , 20 , mapped-by-core , 2048 x 2048 , 0.26188 , 8.39233e-05 , 0.165307 , 0.427275
1 , 17 , mapped-by-core , 2048 x 2048 , 0.0122809 , 1.28746e-05 , 0.012208 , 0.0245049
1 , 18 , mapped-by-core , 2048 x 2048 , 0.011513 , 1.50204e-05 , 0.012527 , 0.0240591
33 , 21 , mapped-by-core , 2048 x 2048 , 0.22161 , 9.5129e-05 , 0.286228 , 0.507938
1 , 19 , mapped-by-core , 2048 x 2048 , 0.011548 , 1.3113e-05 , 0.0124559 , 0.0240211
33 , 22 , mapped-by-core , 2048 x 2048 , 0.244218 , 8.67844e-05 , 0.155537 , 0.399844
1 , 20 , mapped-by-core , 2048 x 2048 , 0.0115268 , 1.28746e-05 , 0.0124769 , 0.0240209
1 , 21 , mapped-by-core , 2048 x 2048 , 0.0115838 , 1.3113e-05 , 0.0125649 , 0.0241671
33 , 23 , mapped-by-core , 2048 x 2048 , 0.218116 , 9.08375e-05 , 0.161441 , 0.379651
1 , 22 , mapped-by-core , 2048 x 2048 , 0.0122359 , 1.3113e-05 , 0.0130548 , 0.0253079
1 , 23 , mapped-by-core , 2048 x 2048 , 0.012023 , 1.3113e-05 , 0.0121739 , 0.024215
33 , 24 , mapped-by-core , 2048 x 2048 , 0.246567 , 7.79629e-05 , 0.232934 , 0.479583
1 , 24 , mapped-by-core , 2048 x 2048 , 0.0121071 , 1.38283e-05 , 0.0122151 , 0.024339
1 , 25 , mapped-by-core , 2048 x 2048 , 0.011899 , 1.40667e-05 , 0.0124519 , 0.024369
33 , 25 , mapped-by-core , 2048 x 2048 , 0.270708 , 0.0184929 , 0.270502 , 0.559708
1 , 26 , mapped-by-core , 2048 x 2048 , 0.0116661 , 1.5974e-05 , 0.012646 , 0.0243309
1 , 27 , mapped-by-core , 2048 x 2048 , 0.0121689 , 1.40667e-05 , 0.0123379 , 0.0245249
33 , 26 , mapped-by-core , 2048 x 2048 , 0.297692 , 7.89165e-05 , 0.375683 , 0.673457
1 , 28 , mapped-by-core , 2048 x 2048 , 0.0118089 , 1.40667e-05 , 0.0127161 , 0.024544
1 , 29 , mapped-by-core , 2048 x 2048 , 0.0124221 , 1.38283e-05 , 0.0122871 , 0.0247271
33 , 27 , mapped-by-core , 2048 x 2048 , 0.282896 , 8.70228e-05 , 0.249198 , 0.532185
1 , 30 , mapped-by-core , 2048 x 2048 , 0.0122602 , 1.38283e-05 , 0.0123541 , 0.024632
1 , 31 , mapped-by-core , 2048 x 2048 , 0.0119529 , 1.50204e-05 , 0.0126281 , 0.0246
33 , 28 , mapped-by-core , 2048 x 2048 , 0.272223 , 9.41753e-05 , 0.181543 , 0.453864
1 , 32 , mapped-by-core , 2048 x 2048 , 0.0124078 , 2.69413e-05 , 0.0149629 , 0.0274038
1 , 1 , mapped-by-core , 2048 x 2048 , 0.0113089 , 1.28746e-05 , 0.0128121 , 0.0241382
33 , 29 , mapped-by-core , 2048 x 2048 , 0.267061 , 7.98702e-05 , 0.186284 , 0.453429
1 , 2 , mapped-by-core , 2048 x 2048 , 0.0110691 , 1.69277e-05 , 0.012455 , 0.0235462
1 , 3 , mapped-by-core , 2048 x 2048 , 0.0111668 , 1.5974e-05 , 0.0125182 , 0.023705
1 , 4 , mapped-by-core , 2048 x 2048 , 0.0111558 , 1.3113e-05 , 0.012604 , 0.023777
33 , 30 , mapped-by-core , 2048 x 2048 , 0.279081 , 8.39233e-05 , 0.356411 , 0.635581
1 , 5 , mapped-by-core , 2048 x 2048 , 0.0116079 , 1.3113e-05 , 0.012038 , 0.023663
1 , 6 , mapped-by-core , 2048 x 2048 , 0.011703 , 1.28746e-05 , 0.012063 , 0.0237839
33 , 31 , mapped-by-core , 2048 x 2048 , 0.347906 , 0.0171549 , 0.382904 , 0.747969
