60 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0877509 , 9.60827e-05 , 0.0770271 , 0.164878
60 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.250786 , 8.89301e-05 , 0.176823 , 0.427702
60 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.111134 , 9.89437e-05 , 0.147173 , 0.25841
60 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.114852 , 7.79629e-05 , 0.113009 , 0.227942
60 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.116142 , 8.79765e-05 , 0.13004 , 0.246274
60 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.157487 , 9.70364e-05 , 0.158999 , 0.316588
60 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.160765 , 6.50883e-05 , 0.148214 , 0.309048
60 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.167366 , 8.39233e-05 , 0.150702 , 0.318157
60 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.16107 , 8.70228e-05 , 0.162682 , 0.323843
60 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.285501 , 8.4877e-05 , 0.16686 , 0.45245
60 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.208942 , 6.29425e-05 , 0.168035 , 0.377043
60 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.220794 , 8.79765e-05 , 0.175737 , 0.396621
60 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.242253 , 8.2016e-05 , 0.201402 , 0.443741
60 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.337778 , 8.79765e-05 , 0.197457 , 0.535326
60 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.271269 , 8.51154e-05 , 0.182973 , 0.454332
60 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.286259 , 7.70092e-05 , 0.176622 , 0.462963
60 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.29597 , 8.82149e-05 , 0.207689 , 0.503751
60 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.356572 , 9.799e-05 , 0.210309 , 0.566983
60 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.305942 , 8.10623e-05 , 0.217356 , 0.523383
60 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.446654 , 8.70228e-05 , 0.373357 , 0.820103
60 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.348387 , 9.10759e-05 , 0.229964 , 0.578448
60 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.388221 , 7.48634e-05 , 0.260801 , 0.6491
60 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.351862 , 9.39369e-05 , 0.247548 , 0.599508
60 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.390593 , 8.79765e-05 , 0.286387 , 0.677072
60 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.380564 , 8.91685e-05 , 0.228889 , 0.609544
60 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.451209 , 8.2016e-05 , 0.367133 , 0.818427
60 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.5043 , 8.51154e-05 , 0.257787 , 0.762176
60 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.49623 , 8.51154e-05 , 0.249812 , 0.746132
60 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.529821 , 8.60691e-05 , 0.296228 , 0.826138
60 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.549726 , 8.89301e-05 , 0.289531 , 0.83935
60 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.556397 , 8.98838e-05 , 0.313558 , 0.870047
60 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.541972 , 9.41753e-05 , 0.300276 , 0.842346
60 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.199399 , 8.10623e-05 , 0.103968 , 0.303453
60 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.102708 , 8.29697e-05 , 0.088547 , 0.191342
60 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.131225 , 9.799e-05 , 0.125947 , 0.257273
60 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.109618 , 8.58307e-05 , 0.123228 , 0.232935
60 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.189768 , 9.10759e-05 , 0.106479 , 0.296343
60 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.146773 , 7.39098e-05 , 0.111508 , 0.258361
60 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.205756 , 8.91685e-05 , 0.129103 , 0.334952
60 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.245941 , 8.39233e-05 , 0.242336 , 0.488363
60 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.203685 , 8.98838e-05 , 0.204918 , 0.408697
60 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.184253 , 9.20296e-05 , 0.182563 , 0.366912
60 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.201825 , 9.20296e-05 , 0.172223 , 0.374144
60 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.218979 , 8.10623e-05 , 0.161873 , 0.380936
60 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.337785 , 8.79765e-05 , 0.170673 , 0.508549
60 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.396293 , 8.79765e-05 , 0.182244 , 0.578629
60 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.270834 , 6.79493e-05 , 0.202496 , 0.473402
60 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.248819 , 9.48906e-05 , 0.197759 , 0.446678
60 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.287315 , 8.2016e-05 , 0.202758 , 0.490159
60 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.330669 , 8.89301e-05 , 0.207142 , 0.537905
