33 , mapped-by-core , 8192 x 8192 , 0.185237 , 9.799e-05 , 0.135081 , 0.320417
33 , mapped-by-core , 8192 x 8192 , 0.18913 , 9.60827e-05 , 0.149393 , 0.33862
33 , mapped-by-core , 8192 x 8192 , 0.182412 , 9.10759e-05 , 0.13831 , 0.320816
33 , mapped-by-core , 8192 x 8192 , 0.197355 , 0.000112057 , 0.156758 , 0.354226
33 , mapped-by-core , 8192 x 8192 , 0.205851 , 8.41618e-05 , 0.150312 , 0.35625
34 , mapped-by-core , 8192 x 8192 , 0.252919 , 0.000102997 , 0.382327 , 0.63535
34 , mapped-by-core , 8192 x 8192 , 0.242625 , 0.000102997 , 0.204107 , 0.446836
34 , mapped-by-core , 8192 x 8192 , 0.273005 , 9.48906e-05 , 0.21098 , 0.484081
34 , mapped-by-core , 8192 x 8192 , 0.250649 , 0.000105143 , 0.199949 , 0.450704
34 , mapped-by-core , 8192 x 8192 , 0.262711 , 9.89437e-05 , 0.215555 , 0.478369
35 , mapped-by-core , 8192 x 8192 , 0.32307 , 8.41618e-05 , 0.269359 , 0.592516
35 , mapped-by-core , 8192 x 8192 , 0.33306 , 8.2016e-05 , 0.267521 , 0.600664
35 , mapped-by-core , 8192 x 8192 , 0.352907 , 9.39369e-05 , 0.327812 , 0.680814
35 , mapped-by-core , 8192 x 8192 , 0.316254 , 8.4877e-05 , 0.271316 , 0.587657
35 , mapped-by-core , 8192 x 8192 , 0.315323 , 9.01222e-05 , 0.265365 , 0.580779
36 , mapped-by-core , 8192 x 8192 , 0.395452 , 9.08375e-05 , 0.334477 , 0.730021
36 , mapped-by-core , 8192 x 8192 , 0.369816 , 8.2016e-05 , 0.321375 , 0.691274
36 , mapped-by-core , 8192 x 8192 , 0.373184 , 9.08375e-05 , 0.313758 , 0.687036
36 , mapped-by-core , 8192 x 8192 , 0.363421 , 9.799e-05 , 0.317043 , 0.680564
36 , mapped-by-core , 8192 x 8192 , 0.556969 , 9.10759e-05 , 0.370524 , 0.927588
37 , mapped-by-core , 8192 x 8192 , 0.434681 , 9.10759e-05 , 0.381355 , 0.816129
37 , mapped-by-core , 8192 x 8192 , 0.669657 , 9.60827e-05 , 0.513784 , 1.18354
37 , mapped-by-core , 8192 x 8192 , 0.434586 , 9.08375e-05 , 0.434241 , 0.86892
37 , mapped-by-core , 8192 x 8192 , 0.430049 , 8.32081e-05 , 0.373981 , 0.804115
37 , mapped-by-core , 8192 x 8192 , 0.456436 , 8.70228e-05 , 0.381619 , 0.838143
38 , mapped-by-core , 8192 x 8192 , 0.487213 , 8.70228e-05 , 0.434625 , 0.921926
38 , mapped-by-core , 8192 x 8192 , 0.474151 , 9.799e-05 , 0.430589 , 0.90484
38 , mapped-by-core , 8192 x 8192 , 0.48375 , 9.98974e-05 , 0.433176 , 0.917027
38 , mapped-by-core , 8192 x 8192 , 0.473915 , 8.98838e-05 , 0.423392 , 0.897399
38 , mapped-by-core , 8192 x 8192 , 0.47855 , 9.89437e-05 , 0.432484 , 0.911134
39 , mapped-by-core , 8192 x 8192 , 0.641503 , 8.32081e-05 , 0.478051 , 1.11964
39 , mapped-by-core , 8192 x 8192 , 0.538041 , 6.69956e-05 , 0.475379 , 1.01349
39 , mapped-by-core , 8192 x 8192 , 0.732005 , 7.79629e-05 , 0.542687 , 1.27477
39 , mapped-by-core , 8192 x 8192 , 0.731436 , 9.29832e-05 , 0.49654 , 1.22807
39 , mapped-by-core , 8192 x 8192 , 0.620036 , 9.5129e-05 , 0.56203 , 1.18216
40 , mapped-by-core , 8192 x 8192 , 0.593922 , 9.70364e-05 , 0.530311 , 1.12433
40 , mapped-by-core , 8192 x 8192 , 0.565254 , 8.60691e-05 , 0.525344 , 1.09069
40 , mapped-by-core , 8192 x 8192 , 0.589262 , 9.60827e-05 , 0.530432 , 1.11979
40 , mapped-by-core , 8192 x 8192 , 0.657713 , 8.79765e-05 , 0.556657 , 1.21446
40 , mapped-by-core , 8192 x 8192 , 0.560301 , 9.20296e-05 , 0.607373 , 1.16777
41 , mapped-by-core , 8192 x 8192 , 1.19573 , 8.41618e-05 , 0.600174 , 1.79599
41 , mapped-by-core , 8192 x 8192 , 0.608974 , 8.70228e-05 , 0.563379 , 1.17244
41 , mapped-by-core , 8192 x 8192 , 0.598632 , 9.799e-05 , 0.576396 , 1.17513
41 , mapped-by-core , 8192 x 8192 , 0.595195 , 8.70228e-05 , 0.572967 , 1.16825
41 , mapped-by-core , 8192 x 8192 , 0.595812 , 8.4877e-05 , 0.563943 , 1.15984
42 , mapped-by-core , 8192 x 8192 , 2.05465 , 9.98974e-05 , 0.683804 , 2.73855
42 , mapped-by-core , 8192 x 8192 , 0.633362 , 0.000102997 , 0.614288 , 1.24775
42 , mapped-by-core , 8192 x 8192 , 0.662793 , 8.98838e-05 , 0.602431 , 1.26532
42 , mapped-by-core , 8192 x 8192 , 0.803247 , 9.39369e-05 , 0.7125 , 1.51584
42 , mapped-by-core , 8192 x 8192 , 0.643319 , 0.00011301 , 0.609233 , 1.25267
43 , mapped-by-core , 8192 x 8192 , 0.6722 , 8.70228e-05 , 0.649577 , 1.32187
43 , mapped-by-core , 8192 x 8192 , 0.704846 , 6.69956e-05 , 0.672189 , 1.3771
43 , mapped-by-core , 8192 x 8192 , 0.681667 , 9.39369e-05 , 0.643316 , 1.32508
43 , mapped-by-core , 8192 x 8192 , 0.678025 , 9.48906e-05 , 0.648782 , 1.3269
43 , mapped-by-core , 8192 x 8192 , 0.686297 , 8.79765e-05 , 0.649137 , 1.33553
44 , mapped-by-core , 8192 x 8192 , 0.803532 , 9.08375e-05 , 0.731386 , 1.53501
44 , mapped-by-core , 8192 x 8192 , 0.755681 , 9.58443e-05 , 0.696881 , 1.45266
44 , mapped-by-core , 8192 x 8192 , 0.784691 , 9.10759e-05 , 0.714526 , 1.49931
44 , mapped-by-core , 8192 x 8192 , 0.731471 , 8.10623e-05 , 0.687848 , 1.4194
44 , mapped-by-core , 8192 x 8192 , 0.733953 , 0.000108004 , 0.688114 , 1.42218
45 , mapped-by-core , 8192 x 8192 , 0.745339 , 8.41618e-05 , 0.722181 , 1.4676
45 , mapped-by-core , 8192 x 8192 , 0.751435 , 9.32217e-05 , 0.734806 , 1.48634
45 , mapped-by-core , 8192 x 8192 , 0.995983 , 8.2016e-05 , 0.72779 , 1.72386
45 , mapped-by-core , 8192 x 8192 , 0.747172 , 0.000105858 , 0.721649 , 1.46893
45 , mapped-by-core , 8192 x 8192 , 1.03681 , 9.39369e-05 , 0.773711 , 1.81061
46 , mapped-by-core , 8192 x 8192 , 1.36869 , 0.000110865 , 0.779151 , 2.14795
46 , mapped-by-core , 8192 x 8192 , 0.785764 , 8.70228e-05 , 0.762341 , 1.54819
46 , mapped-by-core , 8192 x 8192 , 0.823238 , 9.29832e-05 , 0.780324 , 1.60366
46 , mapped-by-core , 8192 x 8192 , 1.31508 , 0.000100851 , 0.758057 , 2.07324
46 , mapped-by-core , 8192 x 8192 , 0.789057 , 9.5129e-05 , 0.756429 , 1.54558
47 , mapped-by-core , 8192 x 8192 , 1.47964 , 9.10759e-05 , 0.806473 , 2.2862
47 , mapped-by-core , 8192 x 8192 , 0.833723 , 9.41753e-05 , 0.788557 , 1.62238
47 , mapped-by-core , 8192 x 8192 , 0.835836 , 9.32217e-05 , 0.798031 , 1.63396
47 , mapped-by-core , 8192 x 8192 , 0.842559 , 0.000108957 , 0.788829 , 1.6315
47 , mapped-by-core , 8192 x 8192 , 0.824185 , 9.29832e-05 , 0.798576 , 1.62286
48 , mapped-by-core , 8192 x 8192 , 0.854518 , 9.29832e-05 , 0.850765 , 1.70538
48 , mapped-by-core , 8192 x 8192 , 0.892568 , 9.29832e-05 , 0.840777 , 1.73344
48 , mapped-by-core , 8192 x 8192 , 0.843947 , 9.29832e-05 , 0.820286 , 1.66433
48 , mapped-by-core , 8192 x 8192 , 1.20717 , 8.4877e-05 , 0.818937 , 2.02619
48 , mapped-by-core , 8192 x 8192 , 0.86161 , 8.89301e-05 , 0.825865 , 1.68757
49 , mapped-by-core , 8192 x 8192 , 1.74158 , 8.41618e-05 , 0.988775 , 2.73044
49 , mapped-by-core , 8192 x 8192 , 0.876486 , 0.000100136 , 0.872111 , 1.7487
49 , mapped-by-core , 8192 x 8192 , 0.889396 , 5.79357e-05 , 0.849935 , 1.73939
49 , mapped-by-core , 8192 x 8192 , 0.892785 , 8.41618e-05 , 0.865155 , 1.75803
49 , mapped-by-core , 8192 x 8192 , 0.90195 , 7.89165e-05 , 0.860264 , 1.76229
50 , mapped-by-core , 8192 x 8192 , 0.913972 , 8.89301e-05 , 0.879512 , 1.79357
50 , mapped-by-core , 8192 x 8192 , 0.91431 , 9.29832e-05 , 0.911284 , 1.82569
50 , mapped-by-core , 8192 x 8192 , 0.929299 , 9.5129e-05 , 0.904892 , 1.83429
50 , mapped-by-core , 8192 x 8192 , 1.27106 , 8.51154e-05 , 0.888809 , 2.15996
50 , mapped-by-core , 8192 x 8192 , 0.915749 , 8.91685e-05 , 0.879372 , 1.79521
51 , mapped-by-core , 8192 x 8192 , 0.933978 , 9.01222e-05 , 0.907694 , 1.84176
51 , mapped-by-core , 8192 x 8192 , 0.960767 , 0.000148058 , 0.922507 , 1.88342
51 , mapped-by-core , 8192 x 8192 , 1.35441 , 8.70228e-05 , 0.907751 , 2.26225
51 , mapped-by-core , 8192 x 8192 , 0.954156 , 9.20296e-05 , 0.921235 , 1.87548
51 , mapped-by-core , 8192 x 8192 , 1.02475 , 8.89301e-05 , 0.913409 , 1.93825
52 , mapped-by-core , 8192 x 8192 , 0.966964 , 8.39233e-05 , 0.941287 , 1.90834
52 , mapped-by-core , 8192 x 8192 , 0.962616 , 9.10759e-05 , 0.937487 , 1.9002
52 , mapped-by-core , 8192 x 8192 , 1.19598 , 9.29832e-05 , 1.00264 , 2.19871
52 , mapped-by-core , 8192 x 8192 , 1.20603 , 8.39233e-05 , 0.948623 , 2.15474
52 , mapped-by-core , 8192 x 8192 , 0.978422 , 8.58307e-05 , 0.940599 , 1.91911
53 , mapped-by-core , 8192 x 8192 , 0.980599 , 8.01086e-05 , 0.960389 , 1.94107
53 , mapped-by-core , 8192 x 8192 , 1.0026 , 9.20296e-05 , 0.968233 , 1.97093
53 , mapped-by-core , 8192 x 8192 , 0.999285 , 9.799e-05 , 0.962631 , 1.96202
53 , mapped-by-core , 8192 x 8192 , 1.26157 , 8.89301e-05 , 0.991913 , 2.25357
53 , mapped-by-core , 8192 x 8192 , 1.59565 , 8.10623e-05 , 1.02896 , 2.6247
54 , mapped-by-core , 8192 x 8192 , 1.01946 , 8.51154e-05 , 0.994814 , 2.01437
54 , mapped-by-core , 8192 x 8192 , 1.03535 , 8.2016e-05 , 0.99269 , 2.02812
54 , mapped-by-core , 8192 x 8192 , 1.39208 , 8.70228e-05 , 1.00166 , 2.39383
54 , mapped-by-core , 8192 x 8192 , 1.12362 , 8.89301e-05 , 1.07764 , 2.20135
54 , mapped-by-core , 8192 x 8192 , 1.01983 , 9.70364e-05 , 0.990039 , 2.00997
55 , mapped-by-core , 8192 x 8192 , 1.04148 , 0.000132084 , 1.02019 , 2.0618
55 , mapped-by-core , 8192 x 8192 , 1.21181 , 8.41618e-05 , 1.01925 , 2.23115
55 , mapped-by-core , 8192 x 8192 , 1.03613 , 8.79765e-05 , 1.02527 , 2.06149
55 , mapped-by-core , 8192 x 8192 , 1.03043 , 9.20296e-05 , 1.01526 , 2.04578
55 , mapped-by-core , 8192 x 8192 , 1.14135 , 8.89301e-05 , 1.04006 , 2.1815
56 , mapped-by-core , 8192 x 8192 , 1.06937 , 0.00010705 , 1.05714 , 2.12662
56 , mapped-by-core , 8192 x 8192 , 1.07869 , 9.01222e-05 , 1.0392 , 2.11799
56 , mapped-by-core , 8192 x 8192 , 1.05596 , 8.89301e-05 , 1.03876 , 2.09481
56 , mapped-by-core , 8192 x 8192 , 1.34887 , 0.000102043 , 1.06295 , 2.41192
56 , mapped-by-core , 8192 x 8192 , 1.04977 , 8.70228e-05 , 1.03644 , 2.0863
57 , mapped-by-core , 8192 x 8192 , 1.21311 , 9.08375e-05 , 1.08946 , 2.30266
57 , mapped-by-core , 8192 x 8192 , 1.11526 , 8.70228e-05 , 1.08305 , 2.19839
57 , mapped-by-core , 8192 x 8192 , 1.51681 , 0.000114918 , 1.05882 , 2.57574
57 , mapped-by-core , 8192 x 8192 , 1.07329 , 8.60691e-05 , 1.06143 , 2.13481
57 , mapped-by-core , 8192 x 8192 , 1.11818 , 8.39233e-05 , 1.05771 , 2.17598
58 , mapped-by-core , 8192 x 8192 , 1.11352 , 8.60691e-05 , 1.08385 , 2.19746
58 , mapped-by-core , 8192 x 8192 , 1.1012 , 9.39369e-05 , 1.08941 , 2.19071
58 , mapped-by-core , 8192 x 8192 , 1.42453 , 9.08375e-05 , 1.10466 , 2.52927
58 , mapped-by-core , 8192 x 8192 , 1.09886 , 0.00011611 , 1.08341 , 2.18238
58 , mapped-by-core , 8192 x 8192 , 1.10101 , 8.4877e-05 , 1.08566 , 2.18675
59 , mapped-by-core , 8192 x 8192 , 1.12734 , 9.41753e-05 , 1.10155 , 2.22898
59 , mapped-by-core , 8192 x 8192 , 1.13941 , 0.000101089 , 1.1033 , 2.24281
59 , mapped-by-core , 8192 x 8192 , 1.12962 , 0.000116825 , 1.10741 , 2.23715
59 , mapped-by-core , 8192 x 8192 , 1.50405 , 8.91685e-05 , 1.14336 , 2.6475
