1 , mapped-by-core-extra , 4096 x 4096 , 0.0139861 , 4.76837e-06 , 0.0600901 , 0.0740831
2 , mapped-by-core-extra , 4096 x 4096 , 0.0417058 , 1.90735e-06 , 0.0430801 , 0.0847909
3 , mapped-by-core-extra , 4096 x 4096 , 0.061178 , 3.09944e-06 , 0.0361829 , 0.0973649
4 , mapped-by-core-extra , 4096 x 4096 , 0.0799739 , 2.14577e-06 , 0.033572 , 0.11355
5 , mapped-by-core-extra , 4096 x 4096 , 0.0939491 , 1.90735e-06 , 0.0296471 , 0.123599
1 , mapped-by-core-extra , 4096 x 4096 , 0.0112212 , 4.05312e-06 , 0.0517008 , 0.0629292
1 , mapped-by-core-extra , 4096 x 4096 , 0.0111961 , 4.05312e-06 , 0.0514059 , 0.0626092
1 , mapped-by-core-extra , 4096 x 4096 , 0.0140231 , 5.96046e-06 , 0.059972 , 0.074002
1 , mapped-by-core-extra , 4096 x 4096 , 0.0139961 , 5.96046e-06 , 0.0597942 , 0.0737982
1 , mapped-by-core-extra , 4096 x 4096 , 0.014034 , 5.00679e-06 , 0.0597968 , 0.0738392
2 , mapped-by-core-extra , 4096 x 4096 , 0.041975 , 3.09944e-06 , 0.0427899 , 0.08477
2 , mapped-by-core-extra , 4096 x 4096 , 0.0416651 , 2.86102e-06 , 0.0433941 , 0.085063
2 , mapped-by-core-extra , 4096 x 4096 , 0.0417931 , 1.90735e-06 , 0.0430312 , 0.08483
2 , mapped-by-core-extra , 4096 x 4096 , 0.0421 , 2.14577e-06 , 0.0416009 , 0.0837049
2 , mapped-by-core-extra , 4096 x 4096 , 0.035733 , 2.14577e-06 , 0.0366859 , 0.072422
3 , mapped-by-core-extra , 4096 x 4096 , 0.0530641 , 1.90735e-06 , 0.0316181 , 0.084686
3 , mapped-by-core-extra , 4096 x 4096 , 0.0531411 , 1.90735e-06 , 0.0316761 , 0.08482
3 , mapped-by-core-extra , 4096 x 4096 , 0.0536921 , 1.90735e-06 , 0.0317791 , 0.085474
3 , mapped-by-core-extra , 4096 x 4096 , 0.0400932 , 1.90735e-06 , 0.0315399 , 0.071635
3 , mapped-by-core-extra , 4096 x 4096 , 0.0530801 , 2.86102e-06 , 0.0319591 , 0.085042
4 , mapped-by-core-extra , 4096 x 4096 , 0.0711839 , 2.14577e-06 , 0.029495 , 0.100683
4 , mapped-by-core-extra , 4096 x 4096 , 0.059058 , 3.09944e-06 , 0.029887 , 0.0889499
4 , mapped-by-core-extra , 4096 x 4096 , 0.071336 , 1.90735e-06 , 0.029366 , 0.100706
4 , mapped-by-core-extra , 4096 x 4096 , 0.0721982 , 1.90735e-06 , 0.0291619 , 0.101363
4 , mapped-by-core-extra , 4096 x 4096 , 0.0728979 , 2.14577e-06 , 0.030103 , 0.103004
5 , mapped-by-core-extra , 4096 x 4096 , 0.0865412 , 2.86102e-06 , 0.0292931 , 0.115837
5 , mapped-by-core-extra , 4096 x 4096 , 0.0861561 , 5.96046e-06 , 0.0298769 , 0.116042
5 , mapped-by-core-extra , 4096 x 4096 , 0.0864029 , 3.09944e-06 , 0.0293241 , 0.115731
5 , mapped-by-core-extra , 4096 x 4096 , 0.0868421 , 2.86102e-06 , 0.0290961 , 0.115943
5 , mapped-by-core-extra , 4096 x 4096 , 0.072408 , 5.96046e-06 , 0.0299392 , 0.102355
6 , mapped-by-core-extra , 4096 x 4096 , 0.100098 , 3.09944e-06 , 0.0293839 , 0.129488
6 , mapped-by-core-extra , 4096 x 4096 , 0.101571 , 3.09944e-06 , 0.028435 , 0.13001
6 , mapped-by-core-extra , 4096 x 4096 , 0.087559 , 2.86102e-06 , 0.028904 , 0.116467
