14 , mapped-by-core-extra , 8196 x 8196 , 0.435249 , 1.90735e-06 , 0.112018 , 0.547271
14 , mapped-by-core-extra , 8196 x 8196 , 0.44683 , 5.96046e-06 , 0.111048 , 0.557886
14 , mapped-by-core-extra , 8196 x 8196 , 0.525659 , 3.09944e-06 , 0.111753 , 0.637416
14 , mapped-by-core-extra , 8196 x 8196 , 0.481397 , 3.8147e-06 , 0.111269 , 0.592672
14 , mapped-by-core-extra , 8196 x 8196 , 0.428942 , 2.14577e-06 , 0.111896 , 0.540842
15 , mapped-by-core-extra , 8196 x 8196 , 0.397231 , 3.8147e-06 , 0.111416 , 0.508653
15 , mapped-by-core-extra , 8196 x 8196 , 0.435795 , 1.90735e-06 , 0.111374 , 0.547174
15 , mapped-by-core-extra , 8196 x 8196 , 0.397896 , 3.09944e-06 , 0.111735 , 0.509636
15 , mapped-by-core-extra , 8196 x 8196 , 0.437295 , 6.91414e-06 , 0.110992 , 0.548297
15 , mapped-by-core-extra , 8196 x 8196 , 0.39004 , 4.05312e-06 , 0.11176 , 0.501807
16 , mapped-by-core-extra , 8196 x 8196 , 0.48008 , 3.09944e-06 , 0.112933 , 0.59302
16 , mapped-by-core-extra , 8196 x 8196 , 0.404546 , 3.09944e-06 , 0.111878 , 0.516429
16 , mapped-by-core-extra , 8196 x 8196 , 0.441696 , 4.05312e-06 , 0.112651 , 0.554353
16 , mapped-by-core-extra , 8196 x 8196 , 0.481028 , 6.91414e-06 , 0.11321 , 0.594247
16 , mapped-by-core-extra , 8196 x 8196 , 0.43333 , 4.05312e-06 , 0.112182 , 0.545518
17 , mapped-by-core-extra , 8196 x 8196 , 0.673985 , 7.86781e-06 , 0.122892 , 0.796888
17 , mapped-by-core-extra , 8196 x 8196 , 0.613286 , 7.15256e-06 , 0.120673 , 0.733969
17 , mapped-by-core-extra , 8196 x 8196 , 0.65075 , 1.12057e-05 , 0.167362 , 0.818125
17 , mapped-by-core-extra , 8196 x 8196 , 0.537552 , 7.15256e-06 , 0.150508 , 0.688071
17 , mapped-by-core-extra , 8196 x 8196 , 0.545944 , 7.15256e-06 , 0.144609 , 0.690564
18 , mapped-by-core-extra , 8196 x 8196 , 0.551344 , 5.96046e-06 , 0.112422 , 0.663775
18 , mapped-by-core-extra , 8196 x 8196 , 0.617125 , 6.91414e-06 , 0.130461 , 0.747595
18 , mapped-by-core-extra , 8196 x 8196 , 0.606109 , 1.00136e-05 , 0.154432 , 0.760555
18 , mapped-by-core-extra , 8196 x 8196 , 0.583647 , 1.00136e-05 , 0.152248 , 0.735909
18 , mapped-by-core-extra , 8196 x 8196 , 0.770398 , 7.15256e-06 , 0.117633 , 0.888042
19 , mapped-by-core-extra , 8196 x 8196 , 0.667924 , 5.96046e-06 , 0.113659 , 0.781591
19 , mapped-by-core-extra , 8196 x 8196 , 0.588044 , 6.91414e-06 , 0.11322 , 0.701275
19 , mapped-by-core-extra , 8196 x 8196 , 0.621469 , 5.96046e-06 , 0.149208 , 0.770687
19 , mapped-by-core-extra , 8196 x 8196 , 0.597816 , 5.00679e-06 , 0.158712 , 0.756535
19 , mapped-by-core-extra , 8196 x 8196 , 0.682842 , 7.15256e-06 , 0.119424 , 0.802277
20 , mapped-by-core-extra , 8196 x 8196 , 0.636666 , 7.15256e-06 , 0.124437 , 0.761114
20 , mapped-by-core-extra , 8196 x 8196 , 0.71094 , 6.19888e-06 , 0.113266 , 0.824216
20 , mapped-by-core-extra , 8196 x 8196 , 0.626848 , 8.10623e-06 , 0.113673 , 0.740531
