35 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.171319 , 8.70228e-05 , 0.319879 , 0.491288
35 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.165591 , 8.29697e-05 , 0.145122 , 0.3108
35 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.205303 , 0.0301311 , 0.163166 , 0.398604
35 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.200849 , 8.91685e-05 , 0.236741 , 0.437682
35 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.226782 , 6.48499e-05 , 0.183364 , 0.410214
35 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.412921 , 8.91685e-05 , 0.154098 , 0.567113
35 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.353606 , 8.60691e-05 , 0.170683 , 0.52438
35 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.219331 , 7.48634e-05 , 0.211372 , 0.430781
35 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.318366 , 8.60691e-05 , 0.199622 , 0.518079
35 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.269743 , 9.60827e-05 , 0.19439 , 0.464234
35 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.268455 , 7.9155e-05 , 0.230589 , 0.499127
35 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.281799 , 8.39233e-05 , 0.213736 , 0.495623
35 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.266274 , 9.01222e-05 , 0.324113 , 0.59048
35 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.253586 , 8.10623e-05 , 0.213003 , 0.466673
35 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.375298 , 7.70092e-05 , 0.286433 , 0.661812
35 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.284031 , 0.110917 , 0.109786 , 0.504739
35 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.03299 , 8.89301e-05 , 0.0568831 , 0.089968
35 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0692151 , 7.79629e-05 , 0.0780859 , 0.147381
35 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0485909 , 8.60691e-05 , 0.103479 , 0.152161
35 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0901151 , 7.58171e-05 , 0.0729172 , 0.163112
35 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.098176 , 8.70228e-05 , 0.149804 , 0.248071
35 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.065613 , 8.70228e-05 , 0.075938 , 0.141641
35 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0877709 , 0.00949216 , 0.0643978 , 0.161666
35 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.406351 , 8.70228e-05 , 0.10597 , 0.512413
35 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.12081 , 8.10623e-05 , 0.14954 , 0.270435
35 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.131579 , 9.29832e-05 , 0.125557 , 0.257233
35 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.247051 , 8.91685e-05 , 0.207737 , 0.454881
35 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.335223 , 8.89301e-05 , 0.138403 , 0.473718
35 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.232426 , 8.4877e-05 , 0.119235 , 0.351749
35 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.19142 , 0.0327399 , 0.121052 , 0.345216
35 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.166087 , 7.9155e-05 , 0.128789 , 0.294961
35 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.170314 , 0.023751 , 0.102527 , 0.296595
