14 , --map-by core ETH Gather , 2048 x 2048 , 0.0109959 , 2.5034e-05 , 0.00716901 , 0.018193 , 
14 , --map-by core ETH Gather , 2048 x 2048 , 0.0110588 , 2.59876e-05 , 0.00716805 , 0.0182569 , 
14 , --map-by core ETH Gather , 2048 x 2048 , 0.0102549 , 2.31266e-05 , 0.00679898 , 0.0170791 , 
15 , --map-by core ETH Gather , 2048 x 2048 , 0.0108089 , 2.5034e-05 , 0.00697398 , 0.017812 , 
15 , --map-by core ETH Gather , 2048 x 2048 , 0.0104191 , 2.28882e-05 , 0.00658512 , 0.017029 , 
15 , --map-by core ETH Gather , 2048 x 2048 , 0.010484 , 2.21729e-05 , 0.00683403 , 0.017343 , 
15 , --map-by core ETH Gather , 2048 x 2048 , 0.00966716 , 2.47955e-05 , 0.00649619 , 0.016191 , 
15 , --map-by core ETH Gather , 2048 x 2048 , 0.0104001 , 2.69413e-05 , 0.00671291 , 0.0171418 , 
16 , --map-by core ETH Gather , 2048 x 2048 , 0.0110168 , 2.81334e-05 , 0.00655603 , 0.0176051 , 
16 , --map-by core ETH Gather , 2048 x 2048 , 0.010989 , 2.59876e-05 , 0.00651693 , 0.017535 , 
16 , --map-by core ETH Gather , 2048 x 2048 , 0.0110159 , 2.90871e-05 , 0.00655198 , 0.017602 , 
16 , --map-by core ETH Gather , 2048 x 2048 , 0.010967 , 2.28882e-05 , 0.00654411 , 0.0175371 , 
16 , --map-by core ETH Gather , 2048 x 2048 , 0.0109529 , 2.69413e-05 , 0.00684404 , 0.0178258 , 
17 , --map-by core ETH Gather , 2048 x 2048 , 0.0135009 , 7.60555e-05 , 0.00785995 , 0.0214419 , 
17 , --map-by core ETH Gather , 2048 x 2048 , 0.0131931 , 7.79629e-05 , 0.00822401 , 0.0214982 , 
17 , --map-by core ETH Gather , 2048 x 2048 , 0.0128939 , 6.50883e-05 , 0.00704002 , 0.0200019 , 
17 , --map-by core ETH Gather , 2048 x 2048 , 0.01298 , 7.89165e-05 , 0.00795102 , 0.0210149 , 
17 , --map-by core ETH Gather , 2048 x 2048 , 0.013056 , 8.10623e-05 , 0.00842404 , 0.0215662 , 
18 , --map-by core ETH Gather , 2048 x 2048 , 0.013552 , 7.70092e-05 , 0.00834608 , 0.0219791 , 
18 , --map-by core ETH Gather , 2048 x 2048 , 0.012058 , 7.08103e-05 , 0.00717306 , 0.019305 , 
18 , --map-by core ETH Gather , 2048 x 2048 , 0.012836 , 6.10352e-05 , 0.008178 , 0.0210779 , 
18 , --map-by core ETH Gather , 2048 x 2048 , 0.0124969 , 6.60419e-05 , 0.00753903 , 0.0201061 , 
18 , --map-by core ETH Gather , 2048 x 2048 , 0.012161 , 7.29561e-05 , 0.00738406 , 0.0196211 , 
19 , --map-by core ETH Gather , 2048 x 2048 , 0.0120831 , 7.29561e-05 , 0.00724101 , 0.0194001 , 
19 , --map-by core ETH Gather , 2048 x 2048 , 0.0122349 , 5.22137e-05 , 0.00671577 , 0.0190058 , 
19 , --map-by core ETH Gather , 2048 x 2048 , 0.0123479 , 7.60555e-05 , 0.00721502 , 0.0196431 , 
19 , --map-by core ETH Gather , 2048 x 2048 , 0.01264 , 6.91414e-05 , 0.00809193 , 0.0208039 , 
19 , --map-by core ETH Gather , 2048 x 2048 , 0.0122361 , 6.50883e-05 , 0.00780702 , 0.0201111 , 
20 , --map-by core ETH Gather , 2048 x 2048 , 0.0123689 , 6.69956e-05 , 0.00720811 , 0.0196471 , 
20 , --map-by core ETH Gather , 2048 x 2048 , 0.0121849 , 7.60555e-05 , 0.00756907 , 0.019834 , 
20 , --map-by core ETH Gather , 2048 x 2048 , 0.0129619 , 5.6982e-05 , 0.00777817 , 0.0208011 , 
20 , --map-by core ETH Gather , 2048 x 2048 , 0.0120559 , 5.60284e-05 , 0.00697708 , 0.019093 , 
20 , --map-by core ETH Gather , 2048 x 2048 , 0.0125189 , 7.20024e-05 , 0.00756097 , 0.0201561 , 
21 , --map-by core ETH Gather , 2048 x 2048 , 0.0127468 , 6.91414e-05 , 0.00719905 , 0.0200181 , 
21 , --map-by core ETH Gather , 2048 x 2048 , 0.0124969 , 6.19888e-05 , 0.007622 , 0.020185 , 
21 , --map-by core ETH Gather , 2048 x 2048 , 0.0370309 , 7.51019e-05 , 0.038842 , 0.0759499 , 
21 , --map-by core ETH Gather , 2048 x 2048 , 0.0196919 , 8.10623e-05 , 0.0119219 , 0.0316989 , 
21 , --map-by core ETH Gather , 2048 x 2048 , 0.0126588 , 7.79629e-05 , 0.00783706 , 0.0205781 , 
22 , --map-by core ETH Gather , 2048 x 2048 , 0.012485 , 7.70092e-05 , 0.00762391 , 0.020189 , 
22 , --map-by core ETH Gather , 2048 x 2048 , 0.027195 , 5.6982e-05 , 0.035948 , 0.0632029 , 
22 , --map-by core ETH Gather , 2048 x 2048 , 0.0125549 , 6.79493e-05 , 0.00755 , 0.0201759 , 
22 , --map-by core ETH Gather , 2048 x 2048 , 0.0146279 , 7.79629e-05 , 0.007236 , 0.021944 , 
22 , --map-by core ETH Gather , 2048 x 2048 , 0.0180318 , 7.70092e-05 , 0.020452 , 0.038564 , 
23 , --map-by core ETH Gather , 2048 x 2048 , 0.0129189 , 5.98431e-05 , 0.00742221 , 0.0204041 , 
23 , --map-by core ETH Gather , 2048 x 2048 , 0.0128119 , 9.10759e-05 , 0.00723481 , 0.0201409 , 
23 , --map-by core ETH Gather , 2048 x 2048 , 0.0128539 , 7.9155e-05 , 0.00766802 , 0.0206051 , 
23 , --map-by core ETH Gather , 2048 x 2048 , 0.030817 , 6.29425e-05 , 0.03672 , 0.067605 , 
23 , --map-by core ETH Gather , 2048 x 2048 , 0.01284 , 7.00951e-05 , 0.0072999 , 0.0202129 , 
24 , --map-by core ETH Gather , 2048 x 2048 , 0.0127289 , 6.19888e-05 , 0.00710106 , 0.0198941 , 
24 , --map-by core ETH Gather , 2048 x 2048 , 0.013031 , 8.79765e-05 , 0.00758505 , 0.0207078 , 
24 , --map-by core ETH Gather , 2048 x 2048 , 0.0129359 , 7.41482e-05 , 0.00764489 , 0.020659 , 
24 , --map-by core ETH Gather , 2048 x 2048 , 0.01297 , 7.10487e-05 , 0.00817204 , 0.0212152 , 
24 , --map-by core ETH Gather , 2048 x 2048 , 0.012872 , 0.000108004 , 0.00724506 , 0.0202301 , 
25 , --map-by core ETH Gather , 2048 x 2048 , 0.013056 , 7.89165e-05 , 0.00732517 , 0.0204642 , 
25 , --map-by core ETH Gather , 2048 x 2048 , 0.0144539 , 5.91278e-05 , 0.00757694 , 0.022094 , 
25 , --map-by core ETH Gather , 2048 x 2048 , 0.0133471 , 6.29425e-05 , 0.007622 , 0.0210371 , 
25 , --map-by core ETH Gather , 2048 x 2048 , 0.0622871 , 5.6982e-05 , 0.077538 , 0.139885 , 
25 , --map-by core ETH Gather , 2048 x 2048 , 0.012681 , 6.69956e-05 , 0.00770402 , 0.0204551 , 
26 , --map-by core ETH Gather , 2048 x 2048 , 0.0129259 , 7.41482e-05 , 0.00759888 , 0.0206041 , 
26 , --map-by core ETH Gather , 2048 x 2048 , 0.0130789 , 6.60419e-05 , 0.00740194 , 0.020551 , 
26 , --map-by core ETH Gather , 2048 x 2048 , 0.033982 , 7.79629e-05 , 0.0121069 , 0.04617 , 
26 , --map-by core ETH Gather , 2048 x 2048 , 0.129309 , 6.79493e-05 , 0.038712 , 0.168092 , 
26 , --map-by core ETH Gather , 2048 x 2048 , 0.012778 , 7.29561e-05 , 0.00766993 , 0.020525 , 
27 , --map-by core ETH Gather , 2048 x 2048 , 0.0333519 , 6.8903e-05 , 0.0395081 , 0.072933 , 
27 , --map-by core ETH Gather , 2048 x 2048 , 0.0171139 , 7.00951e-05 , 0.019666 , 0.0368528 , 
27 , --map-by core ETH Gather , 2048 x 2048 , 0.0172751 , 6.98566e-05 , 0.0194261 , 0.0367751 , 
27 , --map-by core ETH Gather , 2048 x 2048 , 0.0235369 , 7.89165e-05 , 0.0193832 , 0.0430021 , 
27 , --map-by core ETH Gather , 2048 x 2048 , 0.0300779 , 5.4121e-05 , 0.0190871 , 0.0492222 , 
28 , --map-by core ETH Gather , 2048 x 2048 , 0.057215 , 7.70092e-05 , 0.0797069 , 0.137003 , 
28 , --map-by core ETH Gather , 2048 x 2048 , 0.034992 , 6.8903e-05 , 0.037519 , 0.0725849 , 
