65 , mapped-by-core , 2048 x 2048 , 0.135589 , 8.79765e-05 , 0.338149 , 0.473827
65 , mapped-by-core , 2048 x 2048 , 0.118632 , 9.20296e-05 , 0.361122 , 0.479847
65 , mapped-by-core , 2048 x 2048 , 0.158658 , 8.51154e-05 , 0.103354 , 0.262098
65 , mapped-by-core , 2048 x 2048 , 0.149543 , 9.20296e-05 , 0.388073 , 0.537709
65 , mapped-by-core , 2048 x 2048 , 0.0980871 , 7.08103e-05 , 0.348663 , 0.446821
66 , mapped-by-core , 2048 x 2048 , 0.170808 , 9.799e-05 , 0.405578 , 0.576485
66 , mapped-by-core , 2048 x 2048 , 0.164378 , 8.70228e-05 , 0.379589 , 0.544055
66 , mapped-by-core , 2048 x 2048 , 0.250002 , 8.4877e-05 , 0.474021 , 0.724108
66 , mapped-by-core , 2048 x 2048 , 0.238072 , 9.08375e-05 , 0.407857 , 0.646022
66 , mapped-by-core , 2048 x 2048 , 0.259394 , 8.79765e-05 , 0.392892 , 0.652374
67 , mapped-by-core , 2048 x 2048 , 0.15205 , 8.79765e-05 , 0.358828 , 0.510966
67 , mapped-by-core , 2048 x 2048 , 0.153671 , 9.39369e-05 , 0.357297 , 0.511063
67 , mapped-by-core , 2048 x 2048 , 0.101068 , 9.01222e-05 , 0.359944 , 0.461104
67 , mapped-by-core , 2048 x 2048 , 0.115496 , 9.29832e-05 , 0.368993 , 0.484583
67 , mapped-by-core , 2048 x 2048 , 0.361844 , 9.32217e-05 , 0.485745 , 0.847682
68 , mapped-by-core , 2048 x 2048 , 0.128016 , 8.70228e-05 , 0.351328 , 0.479431
68 , mapped-by-core , 2048 x 2048 , 0.160011 , 8.58307e-05 , 0.359936 , 0.520033
68 , mapped-by-core , 2048 x 2048 , 0.166081 , 8.41618e-05 , 0.458073 , 0.624238
68 , mapped-by-core , 2048 x 2048 , 0.153223 , 9.01222e-05 , 0.34513 , 0.498443
68 , mapped-by-core , 2048 x 2048 , 0.138504 , 9.10759e-05 , 0.346 , 0.484597
69 , mapped-by-core , 2048 x 2048 , 0.201039 , 9.29832e-05 , 0.327881 , 0.529014
69 , mapped-by-core , 2048 x 2048 , 0.118069 , 9.10759e-05 , 0.35251 , 0.47067
69 , mapped-by-core , 2048 x 2048 , 0.16901 , 9.20296e-05 , 0.356438 , 0.525541
69 , mapped-by-core , 2048 x 2048 , 0.263355 , 9.60827e-05 , 0.358066 , 0.621517
69 , mapped-by-core , 2048 x 2048 , 0.125162 , 8.79765e-05 , 0.352123 , 0.477375
70 , mapped-by-core , 2048 x 2048 , 0.195076 , 9.10759e-05 , 0.405959 , 0.601126
70 , mapped-by-core , 2048 x 2048 , 0.22436 , 9.01222e-05 , 0.382985 , 0.607436
70 , mapped-by-core , 2048 x 2048 , 0.275443 , 9.29832e-05 , 0.435397 , 0.710935
70 , mapped-by-core , 2048 x 2048 , 0.129881 , 9.10759e-05 , 0.325405 , 0.455377
70 , mapped-by-core , 2048 x 2048 , 0.116302 , 9.20296e-05 , 0.145706 , 0.262101
71 , mapped-by-core , 2048 x 2048 , 0.164314 , 7.08103e-05 , 0.549928 , 0.714313
71 , mapped-by-core , 2048 x 2048 , 0.329826 , 8.4877e-05 , 0.400612 , 0.730524
71 , mapped-by-core , 2048 x 2048 , 0.206611 , 9.20296e-05 , 0.313036 , 0.51974
71 , mapped-by-core , 2048 x 2048 , 0.138142 , 8.60691e-05 , 0.349435 , 0.487665
