65 , mapped-by-core , 4096 x 4096 , 0.444239 , 9.39369e-05 , 0.61603 , 1.06036
65 , mapped-by-core , 4096 x 4096 , 0.689284 , 0.000104904 , 0.560585 , 1.24997
65 , mapped-by-core , 4096 x 4096 , 0.351131 , 0.000101089 , 0.476413 , 0.827646
65 , mapped-by-core , 4096 x 4096 , 0.563011 , 9.48906e-05 , 0.680556 , 1.24366
65 , mapped-by-core , 4096 x 4096 , 0.626612 , 0.000100136 , 0.607542 , 1.23426
66 , mapped-by-core , 4096 x 4096 , 0.354559 , 9.799e-05 , 0.504502 , 0.85916
66 , mapped-by-core , 4096 x 4096 , 0.422393 , 9.89437e-05 , 0.543096 , 0.965589
66 , mapped-by-core , 4096 x 4096 , 0.42253 , 0.000106096 , 0.513813 , 0.93645
66 , mapped-by-core , 4096 x 4096 , 0.354748 , 0.000103235 , 0.507042 , 0.861895
66 , mapped-by-core , 4096 x 4096 , 0.346708 , 9.89437e-05 , 0.499376 , 0.846185
67 , mapped-by-core , 4096 x 4096 , 0.713588 , 0.000102043 , 0.508227 , 1.22192
67 , mapped-by-core , 4096 x 4096 , 0.350889 , 0.000100136 , 0.516696 , 0.867687
67 , mapped-by-core , 4096 x 4096 , 0.354688 , 9.799e-05 , 0.537189 , 0.891976
67 , mapped-by-core , 4096 x 4096 , 0.509611 , 9.799e-05 , 0.557596 , 1.0673
67 , mapped-by-core , 4096 x 4096 , 0.400691 , 9.60827e-05 , 0.526193 , 0.926981
68 , mapped-by-core , 4096 x 4096 , 0.481365 , 0.000102997 , 0.556557 , 1.03803
68 , mapped-by-core , 4096 x 4096 , 0.476179 , 9.89437e-05 , 0.505131 , 0.981411
68 , mapped-by-core , 4096 x 4096 , 0.47728 , 9.799e-05 , 0.701356 , 1.17874
68 , mapped-by-core , 4096 x 4096 , 0.375287 , 0.000101805 , 0.51129 , 0.88668
68 , mapped-by-core , 4096 x 4096 , 0.372349 , 0.000101089 , 0.50293 , 0.875381
69 , mapped-by-core , 4096 x 4096 , 0.385326 , 9.799e-05 , 0.550413 , 0.935837
69 , mapped-by-core , 4096 x 4096 , 0.412627 , 0.000104189 , 0.633074 , 1.04581
69 , mapped-by-core , 4096 x 4096 , 0.85423 , 9.799e-05 , 0.647366 , 1.5017
69 , mapped-by-core , 4096 x 4096 , 0.612733 , 0.000104904 , 0.497297 , 1.11014
69 , mapped-by-core , 4096 x 4096 , 0.430636 , 9.98974e-05 , 0.52492 , 0.955659
70 , mapped-by-core , 4096 x 4096 , 0.564093 , 9.98974e-05 , 0.608271 , 1.17247
70 , mapped-by-core , 4096 x 4096 , 0.397099 , 0.000100851 , 0.652675 , 1.04988
70 , mapped-by-core , 4096 x 4096 , 0.399607 , 0.000101089 , 1.02244 , 1.42215
70 , mapped-by-core , 4096 x 4096 , 0.764951 , 0.000100136 , 0.543575 , 1.30863
70 , mapped-by-core , 4096 x 4096 , 0.377928 , 7.82013e-05 , 0.677627 , 1.05563
71 , mapped-by-core , 4096 x 4096 , 0.458027 , 0.000101089 , 0.707422 , 1.16555
71 , mapped-by-core , 4096 x 4096 , 0.398306 , 0.000101089 , 0.541318 , 0.939726
71 , mapped-by-core , 4096 x 4096 , 0.355018 , 0.000100136 , 0.589737 , 0.944856
71 , mapped-by-core , 4096 x 4096 , 0.739513 , 0.000104904 , 0.689712 , 1.42933
71 , mapped-by-core , 4096 x 4096 , 0.47863 , 0.000123024 , 0.870502 , 1.34926
72 , mapped-by-core , 4096 x 4096 , 0.378921 , 9.41753e-05 , 0.525202 , 0.904219
72 , mapped-by-core , 4096 x 4096 , 0.443894 , 9.98974e-05 , 0.568608 , 1.0126
72 , mapped-by-core , 4096 x 4096 , 0.475714 , 0.000104904 , 0.560883 , 1.0367
72 , mapped-by-core , 4096 x 4096 , 0.387179 , 9.70364e-05 , 0.547131 , 0.93441
72 , mapped-by-core , 4096 x 4096 , 0.371445 , 0.000102043 , 0.749484 , 1.12103
73 , mapped-by-core , 4096 x 4096 , 0.650275 , 9.67979e-05 , 0.535073 , 1.18545
73 , mapped-by-core , 4096 x 4096 , 0.618828 , 0.000102997 , 0.512381 , 1.13131
73 , mapped-by-core , 4096 x 4096 , 0.508299 , 9.89437e-05 , 0.790897 , 1.2993
73 , mapped-by-core , 4096 x 4096 , 0.377478 , 0.000100136 , 0.517641 , 0.895221
73 , mapped-by-core , 4096 x 4096 , 0.39187 , 0.000103951 , 0.538141 , 0.930117
74 , mapped-by-core , 4096 x 4096 , 0.393375 , 0.000101805 , 0.510506 , 0.903983
74 , mapped-by-core , 4096 x 4096 , 0.352771 , 0.000102997 , 0.696832 , 1.04971
74 , mapped-by-core , 4096 x 4096 , 0.403696 , 9.98974e-05 , 0.86321 , 1.26701
74 , mapped-by-core , 4096 x 4096 , 0.378249 , 9.799e-05 , 0.506547 , 0.884896
74 , mapped-by-core , 4096 x 4096 , 0.395847 , 0.000105143 , 0.73678 , 1.13273
75 , mapped-by-core , 4096 x 4096 , 0.480233 , 0.000100851 , 0.572225 , 1.05256
75 , mapped-by-core , 4096 x 4096 , 0.472239 , 9.89437e-05 , 0.542326 , 1.01466
75 , mapped-by-core , 4096 x 4096 , 0.427946 , 0.000108957 , 0.733059 , 1.16111
75 , mapped-by-core , 4096 x 4096 , 0.371629 , 0.000101805 , 0.535667 , 0.9074
75 , mapped-by-core , 4096 x 4096 , 0.482254 , 7.70092e-05 , 0.606377 , 1.08871
76 , mapped-by-core , 4096 x 4096 , 0.395218 , 0.000104904 , 0.845324 , 1.24065
76 , mapped-by-core , 4096 x 4096 , 0.550483 , 0.000103951 , 0.714575 , 1.26516
76 , mapped-by-core , 4096 x 4096 , 0.446132 , 0.000103951 , 0.576578 , 1.02282
76 , mapped-by-core , 4096 x 4096 , 0.588879 , 0.000102043 , 0.640124 , 1.22911
76 , mapped-by-core , 4096 x 4096 , 0.393444 , 0.000118017 , 0.482422 , 0.875986
77 , mapped-by-core , 4096 x 4096 , 0.534649 , 9.67979e-05 , 0.748521 , 1.28327
77 , mapped-by-core , 4096 x 4096 , 0.438767 , 0.000100136 , 0.694422 , 1.13329
77 , mapped-by-core , 4096 x 4096 , 0.445174 , 0.000102997 , 0.517242 , 0.962521
77 , mapped-by-core , 4096 x 4096 , 0.396484 , 0.000103951 , 0.582623 , 0.979213
77 , mapped-by-core , 4096 x 4096 , 0.408289 , 0.000104904 , 0.525426 , 0.93382
78 , mapped-by-core , 4096 x 4096 , 0.480033 , 0.000102997 , 0.53425 , 1.01439
78 , mapped-by-core , 4096 x 4096 , 0.87966 , 0.000102043 , 0.545493 , 1.42526
78 , mapped-by-core , 4096 x 4096 , 0.394035 , 0.000101805 , 0.763054 , 1.15719
78 , mapped-by-core , 4096 x 4096 , 0.572297 , 0.000100851 , 0.684959 , 1.25736
78 , mapped-by-core , 4096 x 4096 , 0.416601 , 9.89437e-05 , 0.568607 , 0.985307
79 , mapped-by-core , 4096 x 4096 , 0.444706 , 9.91821e-05 , 0.514674 , 0.959479
79 , mapped-by-core , 4096 x 4096 , 0.458991 , 9.89437e-05 , 0.777808 , 1.2369
79 , mapped-by-core , 4096 x 4096 , 0.409611 , 9.89437e-05 , 0.597187 , 1.0069
79 , mapped-by-core , 4096 x 4096 , 0.651876 , 0.000101805 , 0.64065 , 1.29263
79 , mapped-by-core , 4096 x 4096 , 0.396266 , 9.70364e-05 , 0.669176 , 1.06554
80 , mapped-by-core , 4096 x 4096 , 0.447042 , 8.4877e-05 , 0.53954 , 0.986667
80 , mapped-by-core , 4096 x 4096 , 0.414944 , 9.91821e-05 , 0.562463 , 0.977508
80 , mapped-by-core , 4096 x 4096 , 0.662568 , 0.000101089 , 0.858883 , 1.52155
80 , mapped-by-core , 4096 x 4096 , 0.4535 , 0.000104189 , 0.60944 , 1.06304
80 , mapped-by-core , 4096 x 4096 , 0.378563 , 9.91821e-05 , 0.581525 , 0.960189
81 , mapped-by-core , 4096 x 4096 , 0.406986 , 0.00010705 , 0.641975 , 1.04907
81 , mapped-by-core , 4096 x 4096 , 0.694814 , 9.799e-05 , 0.711363 , 1.40628
81 , mapped-by-core , 4096 x 4096 , 0.512541 , 0.000114918 , 0.694985 , 1.20764
81 , mapped-by-core , 4096 x 4096 , 0.426307 , 0.000101089 , 0.554886 , 0.981295
81 , mapped-by-core , 4096 x 4096 , 0.39532 , 9.98974e-05 , 0.561714 , 0.957137
82 , mapped-by-core , 4096 x 4096 , 0.713793 , 0.000102997 , 0.547765 , 1.26166
82 , mapped-by-core , 4096 x 4096 , 0.456471 , 0.000100136 , 0.531335 , 0.987908
82 , mapped-by-core , 4096 x 4096 , 0.434175 , 9.98974e-05 , 0.674374 , 1.10865
82 , mapped-by-core , 4096 x 4096 , 0.746367 , 0.000100136 , 0.781488 , 1.52796
82 , mapped-by-core , 4096 x 4096 , 0.441692 , 0.000104904 , 0.891652 , 1.33345
83 , mapped-by-core , 4096 x 4096 , 0.396499 , 0.000100851 , 0.545533 , 0.942135
83 , mapped-by-core , 4096 x 4096 , 0.502889 , 0.000105858 , 0.611353 , 1.11435
