129 , mapped-by-core_5 , 8192 x 8192 , 1.97969 , 0.000108957 , 2.73456 , 4.71435
129 , mapped-by-core_5 , 8192 x 8192 , 1.90627 , 0.000121117 , 1.93017 , 3.83657
129 , mapped-by-core_5 , 8192 x 8192 , 1.95294 , 0.00010705 , 2.40254 , 4.35559
129 , mapped-by-core_5 , 8192 x 8192 , 2.03974 , 0.000109911 , 2.06821 , 4.10806
129 , mapped-by-core_5 , 8192 x 8192 , 1.89006 , 0.000114918 , 1.99464 , 3.88481
130 , mapped-by-core_5 , 8192 x 8192 , 1.92161 , 0.000118971 , 2.18697 , 4.1087
130 , mapped-by-core_5 , 8192 x 8192 , 2.53271 , 0.000111103 , 2.37669 , 4.90951
130 , mapped-by-core_5 , 8192 x 8192 , 2.01966 , 0.000116825 , 2.50438 , 4.52416
130 , mapped-by-core_5 , 8192 x 8192 , 1.94796 , 0.00012207 , 1.9861 , 3.93418
130 , mapped-by-core_5 , 8192 x 8192 , 1.93044 , 0.000108957 , 2.25098 , 4.18153
131 , mapped-by-core_5 , 8192 x 8192 , 1.98359 , 0.000124931 , 2.13692 , 4.12064
131 , mapped-by-core_5 , 8192 x 8192 , 2.04414 , 0.00011301 , 2.17092 , 4.21517
131 , mapped-by-core_5 , 8192 x 8192 , 1.89495 , 0.000118971 , 2.0092 , 3.90427
131 , mapped-by-core_5 , 8192 x 8192 , 2.05644 , 0.000112057 , 2.45977 , 4.51633
131 , mapped-by-core_5 , 8192 x 8192 , 2.34476 , 0.000112057 , 2.44418 , 4.78905
132 , mapped-by-core_5 , 8192 x 8192 , 2.03022 , 0.000118017 , 2.47869 , 4.50903
132 , mapped-by-core_5 , 8192 x 8192 , 2.49272 , 0.000112772 , 2.11772 , 4.61055
132 , mapped-by-core_5 , 8192 x 8192 , 2.136 , 0.000115871 , 2.17635 , 4.31246
132 , mapped-by-core_5 , 8192 x 8192 , 1.89163 , 0.00011301 , 1.97301 , 3.86475
132 , mapped-by-core_5 , 8192 x 8192 , 1.9255 , 0.000123024 , 2.0422 , 3.96783
133 , mapped-by-core_5 , 8192 x 8192 , 2.33414 , 0.000113964 , 2.33067 , 4.66493
133 , mapped-by-core_5 , 8192 x 8192 , 1.96538 , 0.000123024 , 2.19763 , 4.16314
133 , mapped-by-core_5 , 8192 x 8192 , 2.12473 , 0.000124931 , 2.24936 , 4.37422
133 , mapped-by-core_5 , 8192 x 8192 , 2.00899 , 0.000118017 , 2.35834 , 4.36745
133 , mapped-by-core_5 , 8192 x 8192 , 2.23351 , 0.000118971 , 2.09128 , 4.3249
134 , mapped-by-core_5 , 8192 x 8192 , 1.84991 , 0.000113964 , 2.14102 , 3.99105
134 , mapped-by-core_5 , 8192 x 8192 , 1.94922 , 0.00011611 , 2.02382 , 3.97316
134 , mapped-by-core_5 , 8192 x 8192 , 2.42036 , 0.000116825 , 2.19997 , 4.62044
134 , mapped-by-core_5 , 8192 x 8192 , 1.93448 , 9.29832e-05 , 2.22794 , 4.16252
134 , mapped-by-core_5 , 8192 x 8192 , 1.90745 , 0.000118017 , 2.345 , 4.25258
135 , mapped-by-core_5 , 8192 x 8192 , 2.18386 , 0.000114918 , 2.52193 , 4.70591
135 , mapped-by-core_5 , 8192 x 8192 , 2.29379 , 0.000126839 , 2.32002 , 4.61394
135 , mapped-by-core_5 , 8192 x 8192 , 1.93779 , 0.000129938 , 2.12351 , 4.06143
135 , mapped-by-core_5 , 8192 x 8192 , 1.86134 , 0.000110865 , 2.08948 , 3.95093
135 , mapped-by-core_5 , 8192 x 8192 , 2.15628 , 0.00011301 , 2.04723 , 4.20362
136 , mapped-by-core_5 , 8192 x 8192 , 1.99428 , 0.000112772 , 2.20046 , 4.19485
136 , mapped-by-core_5 , 8192 x 8192 , 2.03364 , 0.000115871 , 2.27256 , 4.30632
136 , mapped-by-core_5 , 8192 x 8192 , 2.11058 , 0.00011301 , 2.1126 , 4.22329
136 , mapped-by-core_5 , 8192 x 8192 , 1.97588 , 0.000123978 , 2.1262 , 4.10221
136 , mapped-by-core_5 , 8192 x 8192 , 1.927 , 0.000123978 , 2.34551 , 4.27263
137 , mapped-by-core_5 , 8192 x 8192 , 1.98546 , 0.000123024 , 2.37974 , 4.36533
137 , mapped-by-core_5 , 8192 x 8192 , 1.96376 , 0.000132084 , 2.12919 , 4.09309
137 , mapped-by-core_5 , 8192 x 8192 , 2.27682 , 0.000118017 , 2.09253 , 4.36947
137 , mapped-by-core_5 , 8192 x 8192 , 1.86634 , 0.000118017 , 2.01238 , 3.87884
137 , mapped-by-core_5 , 8192 x 8192 , 1.93321 , 0.000109911 , 2.26431 , 4.19763
138 , mapped-by-core_5 , 8192 x 8192 , 1.91813 , 0.000115871 , 2.14829 , 4.06654
138 , mapped-by-core_5 , 8192 x 8192 , 1.98379 , 0.000114918 , 2.40988 , 4.39379
138 , mapped-by-core_5 , 8192 x 8192 , 2.23278 , 0.000114918 , 2.12784 , 4.36074
138 , mapped-by-core_5 , 8192 x 8192 , 2.28742 , 0.00011611 , 2.30937 , 4.59692
138 , mapped-by-core_5 , 8192 x 8192 , 2.16813 , 0.000121832 , 2.19094 , 4.3592
139 , mapped-by-core_5 , 8192 x 8192 , 2.15551 , 0.000126123 , 2.32124 , 4.47687
139 , mapped-by-core_5 , 8192 x 8192 , 2.30174 , 0.000119925 , 2.14428 , 4.44613
139 , mapped-by-core_5 , 8192 x 8192 , 2.37566 , 0.000114918 , 2.22106 , 4.59684
139 , mapped-by-core_5 , 8192 x 8192 , 2.12946 , 0.000112057 , 2.16366 , 4.29323
139 , mapped-by-core_5 , 8192 x 8192 , 2.09562 , 0.000120878 , 2.29415 , 4.3899
140 , mapped-by-core_5 , 8192 x 8192 , 2.02255 , 0.000116825 , 2.16917 , 4.19183
140 , mapped-by-core_5 , 8192 x 8192 , 2.05841 , 0.000123024 , 2.16033 , 4.21887
140 , mapped-by-core_5 , 8192 x 8192 , 2.12822 , 0.000113964 , 2.38249 , 4.51082
140 , mapped-by-core_5 , 8192 x 8192 , 2.10761 , 0.000111103 , 2.23108 , 4.33881
140 , mapped-by-core_5 , 8192 x 8192 , 1.94079 , 8.79765e-05 , 2.33917 , 4.28005
141 , mapped-by-core_5 , 8192 x 8192 , 1.92218 , 9.01222e-05 , 2.02783 , 3.95011
141 , mapped-by-core_5 , 8192 x 8192 , 2.19222 , 0.000110865 , 2.12258 , 4.31491
141 , mapped-by-core_5 , 8192 x 8192 , 2.26276 , 0.000120878 , 2.21097 , 4.47385
141 , mapped-by-core_5 , 8192 x 8192 , 2.15315 , 0.000120163 , 2.16031 , 4.31358
141 , mapped-by-core_5 , 8192 x 8192 , 2.08655 , 0.00011611 , 2.05999 , 4.14666
142 , mapped-by-core_5 , 8192 x 8192 , 2.00804 , 9.29832e-05 , 2.25855 , 4.26668
142 , mapped-by-core_5 , 8192 x 8192 , 2.42347 , 0.000115156 , 2.13003 , 4.55361
142 , mapped-by-core_5 , 8192 x 8192 , 1.9688 , 0.000114918 , 2.49257 , 4.46149
142 , mapped-by-core_5 , 8192 x 8192 , 1.93411 , 0.000123024 , 2.0881 , 4.02234
142 , mapped-by-core_5 , 8192 x 8192 , 2.00522 , 0.000125885 , 2.12908 , 4.13443
143 , mapped-by-core_5 , 8192 x 8192 , 1.99215 , 0.000114918 , 2.24114 , 4.23342
143 , mapped-by-core_5 , 8192 x 8192 , 1.93214 , 0.000126839 , 2.24367 , 4.17593
143 , mapped-by-core_5 , 8192 x 8192 , 1.89494 , 0.00011301 , 2.57259 , 4.46765
143 , mapped-by-core_5 , 8192 x 8192 , 1.92589 , 0.000128984 , 2.21435 , 4.14037
143 , mapped-by-core_5 , 8192 x 8192 , 1.98238 , 0.000127077 , 2.34437 , 4.32688
144 , mapped-by-core_5 , 8192 x 8192 , 1.93606 , 0.000115871 , 2.13084 , 4.06701
144 , mapped-by-core_5 , 8192 x 8192 , 2.12786 , 0.000112057 , 2.23164 , 4.35961
144 , mapped-by-core_5 , 8192 x 8192 , 1.94519 , 0.000123978 , 2.13507 , 4.08039
144 , mapped-by-core_5 , 8192 x 8192 , 2.00485 , 0.000113964 , 2.2026 , 4.20756
144 , mapped-by-core_5 , 8192 x 8192 , 2.14206 , 0.000115156 , 2.35066 , 4.49283
145 , mapped-by-core_5 , 8192 x 8192 , 2.02084 , 0.000111103 , 2.5842 , 4.60515
145 , mapped-by-core_5 , 8192 x 8192 , 2.02451 , 0.000111103 , 2.34791 , 4.37253
145 , mapped-by-core_5 , 8192 x 8192 , 1.92573 , 0.000123978 , 2.39025 , 4.31611
145 , mapped-by-core_5 , 8192 x 8192 , 1.98444 , 0.000126123 , 2.18992 , 4.17448
145 , mapped-by-core_5 , 8192 x 8192 , 2.29681 , 0.000120163 , 2.26322 , 4.56015
146 , mapped-by-core_5 , 8192 x 8192 , 2.05212 , 0.000115871 , 2.3301 , 4.38234
146 , mapped-by-core_5 , 8192 x 8192 , 1.97905 , 0.000118017 , 2.10745 , 4.08661
146 , mapped-by-core_5 , 8192 x 8192 , 2.59651 , 0.000118017 , 2.33302 , 4.92965
146 , mapped-by-core_5 , 8192 x 8192 , 1.96843 , 0.000135899 , 2.53591 , 4.50447
146 , mapped-by-core_5 , 8192 x 8192 , 2.24137 , 0.000118971 , 2.14214 , 4.38364
147 , mapped-by-core_5 , 8192 x 8192 , 1.94771 , 0.000124216 , 2.31312 , 4.26095
147 , mapped-by-core_5 , 8192 x 8192 , 2.1635 , 0.000115156 , 2.40124 , 4.56486
147 , mapped-by-core_5 , 8192 x 8192 , 2.13935 , 0.000120163 , 2.17768 , 4.31715
147 , mapped-by-core_5 , 8192 x 8192 , 1.9546 , 0.000128031 , 2.39332 , 4.34804
147 , mapped-by-core_5 , 8192 x 8192 , 2.06008 , 0.000118017 , 2.13123 , 4.19143
148 , mapped-by-core_5 , 8192 x 8192 , 2.17145 , 0.000116825 , 2.4121 , 4.58367
148 , mapped-by-core_5 , 8192 x 8192 , 1.99416 , 0.000121832 , 2.8039 , 4.79819
148 , mapped-by-core_5 , 8192 x 8192 , 1.97982 , 0.000126123 , 2.17004 , 4.14999
148 , mapped-by-core_5 , 8192 x 8192 , 2.29057 , 0.00011611 , 2.12711 , 4.4178
148 , mapped-by-core_5 , 8192 x 8192 , 1.95933 , 0.000120878 , 2.26959 , 4.22905
